"campaignid","sample","longitude","latitude","depth","broad.seagrasses","date","id","method"
"2020-06_south-west_stereo-BRUVs","01",114.930865,-34.128599,46.7,0,"20200602","2020-06_south-west_stereo-BRUVs.01","BOSS"
"2020-06_south-west_stereo-BRUVs","02",114.928838,-34.125316,44.4,1,"20200602","2020-06_south-west_stereo-BRUVs.02","BOSS"
"2020-06_south-west_stereo-BRUVs","03",114.925945,-34.126906,39.3,1,"20200602","2020-06_south-west_stereo-BRUVs.03","BOSS"
"2020-06_south-west_stereo-BRUVs","04",114.920337,-34.122634,44.1,0,"20200602","2020-06_south-west_stereo-BRUVs.04","BOSS"
"2020-06_south-west_stereo-BRUVs","05",114.915753,-34.131497,44.1,0,"20200602","2020-06_south-west_stereo-BRUVs.05","BOSS"
"2020-06_south-west_stereo-BRUVs","06",114.912405,-34.132842,43.2,0,"20200602","2020-06_south-west_stereo-BRUVs.06","BOSS"
"2020-06_south-west_stereo-BRUVs","07",114.910241,-34.134771,43.9,0,"20200602","2020-06_south-west_stereo-BRUVs.07","BOSS"
"2020-06_south-west_stereo-BRUVs","08",114.911755,-34.129352,39.6,0,"20200602","2020-06_south-west_stereo-BRUVs.08","BOSS"
"2020-06_south-west_stereo-BRUVs","09",114.916105,-34.119541,43.8,0,"20200602","2020-06_south-west_stereo-BRUVs.09","BOSS"
"2020-06_south-west_stereo-BRUVs","10",114.918685,-34.117294,45.7,1,"20200602","2020-06_south-west_stereo-BRUVs.10","BOSS"
"2020-06_south-west_stereo-BRUVs","11",114.92306,-34.117752,45.08,1,"20200602","2020-06_south-west_stereo-BRUVs.11","BOSS"
"2020-06_south-west_stereo-BRUVs","12",114.928545,-34.132262,40.1,2,"20200602","2020-06_south-west_stereo-BRUVs.12","BOSS"
"2020-06_south-west_stereo-BRUVs","13",114.930547,-34.128506,45.2,0,"20200602","2020-06_south-west_stereo-BRUVs.13","BOSS"
"2020-06_south-west_stereo-BRUVs","14",114.925457,-34.128381,35,5,"20200602","2020-06_south-west_stereo-BRUVs.14","BOSS"
"2020-06_south-west_stereo-BRUVs","15",114.91032,-34.125012,43,0,"20200602","2020-06_south-west_stereo-BRUVs.15","BOSS"
"2020-06_south-west_stereo-BRUVs","16",114.906548,-34.126181,40.9,0,"20200602","2020-06_south-west_stereo-BRUVs.16","BOSS"
"2020-06_south-west_stereo-BRUVs","17",114.92083,-34.132142,40.2,0,"20200602","2020-06_south-west_stereo-BRUVs.17","BOSS"
"2020-06_south-west_stereo-BRUVs","18",114.924078,-34.128679,35.8,1,"20200602","2020-06_south-west_stereo-BRUVs.18","BOSS"
"2020-06_south-west_stereo-BRUVs","20",114.820233,-34.130219,51.7,0,"20200603","2020-06_south-west_stereo-BRUVs.20","BOSS"
"2020-06_south-west_stereo-BRUVs","21",114.817448,-34.128151,52.4,0,"20200603","2020-06_south-west_stereo-BRUVs.21","BOSS"
"2020-06_south-west_stereo-BRUVs","22",114.819552,-34.126271,51.9,0,"20200603","2020-06_south-west_stereo-BRUVs.22","BOSS"
"2020-06_south-west_stereo-BRUVs","23",114.817017,-34.124217,51.3,1,"20200603","2020-06_south-west_stereo-BRUVs.23","BOSS"
"2020-06_south-west_stereo-BRUVs","24",114.826402,-34.118739,49.8,0,"20200603","2020-06_south-west_stereo-BRUVs.24","BOSS"
