"","campaignid","sample","latitude","longitude","depth","depth.multibeam","slope","aspect","roughness","tpi","flowdir"
"1","2020-06_south-west_stereo-BRUVs","01",-34.128599,114.930865,46.7,47.4797134399414,0.0555727742612362,4.79111480712891,0.547453999519348,-0.0651882737874985,16
"2","2020-06_south-west_stereo-BRUVs","02",-34.125316,114.928838,44.4,45.1958084106445,0.0496233701705933,0.844672918319702,0.546893239021301,0.00855654664337635,1
"3","2020-06_south-west_stereo-BRUVs","03",-34.126906,114.925945,39.3,40.2618675231934,0.0870457291603088,5.08118295669556,0.901534616947174,-0.0303972065448761,16
"4","2020-06_south-west_stereo-BRUVs","04",-34.122634,114.920337,44.1,45.5152435302734,0.00527942134067416,4.21239185333252,0.0663362219929695,-0.027452178299427,4
"5","2020-06_south-west_stereo-BRUVs","05",-34.131497,114.915753,44.1,44.2462730407715,0.00257452391088009,6.24385786056519,0.0452103689312935,-0.0148035427555442,32
"6","2020-06_south-west_stereo-BRUVs","06",-34.132842,114.912405,43.2,44.1712760925293,0.00608334364369512,2.55073308944702,0.0743396729230881,0.0191150102764368,1
"7","2020-06_south-west_stereo-BRUVs","07",-34.134771,114.910241,43.9,44.3988380432129,0.00236326595768332,2.22338032722473,0.058172307908535,0.0105492249131203,1
"8","2020-06_south-west_stereo-BRUVs","08",-34.129352,114.911755,39.6,41.0257835388184,0.160393059253693,3.11744499206543,1.79340493679047,0.0956711024045944,16
"9","2020-06_south-west_stereo-BRUVs","09",-34.119541,114.916105,43.8,44.8568687438965,0.0171171668916941,0.246698305010796,0.221910074353218,0.0177089478820562,1
"10","2020-06_south-west_stereo-BRUVs","10",-34.117294,114.918685,45.7,46.7235488891602,0.0427488386631012,0.555694401264191,0.420584291219711,-0.10969565063715,1
"11","2020-06_south-west_stereo-BRUVs","11",-34.117752,114.92306,45.08,46.6423110961914,0.012820091098547,0.376470923423767,0.262039422988892,-0.130563974380493,16
"12","2020-06_south-west_stereo-BRUVs","12",-34.132262,114.928545,40.1,40.0310287475586,0.0558522343635559,3.14711999893188,0.533334016799927,0.100559093058109,16
"13","2020-06_south-west_stereo-BRUVs","13",-34.128506,114.930547,45.2,46.9983139038086,0.196070551872253,1.60546064376831,1.6631383895874,0.118448741734028,1
"14","2020-06_south-west_stereo-BRUVs","14",-34.128381,114.925457,35,37.0380210876465,0.138590648770332,0.462677180767059,1.37394464015961,0.0955904647707939,1
