"sample","latitude","longitude","date","time.bottom","site","location","successful.count","depth","fov.facing.up","fov.limited","fov.open","fov.total.points.annotated","broad.ascidians","broad.bryozoa","broad.consolidated","broad.crinoids","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.unconsolidated"
"FH92",-33.8437,114.8714,20201020,08:34:48,NA,NA,NA,44.1,0,0,80,80,0,0,46.551724137931,0,0,0,10.3448275862069,0,13.7931034482759,15.5172413793103,0,13.7931034482759
"FH61",-33.8412,114.8639,20201020,09:06:40,NA,NA,NA,NA,0,0,80,80,0,0,52.3076923076923,0,0,0,16.9230769230769,0,23.0769230769231,3.07692307692308,0,4.61538461538462
"FH27",-33.8362,114.8714,20201020,09:32:24,NA,NA,NA,42.8,0,1,79,80,0,0,52.2388059701493,0,0,1.49253731343284,22.3880597014925,0,4.47761194029851,10.4477611940298,0,8.95522388059701
"FH17",-33.8337,114.8764,20201020,09:46:43,NA,NA,NA,NA,0,0,80,80,0,0,25,0,0,0,22.5,0,1.25,1.25,0,50
"FH56",-33.8312,114.8664,20201020,10:00:37,NA,NA,NA,41.9,0,0,80,80,0,0,39.7058823529412,0,0,0,17.6470588235294,0,16.1764705882353,2.94117647058824,0,23.5294117647059
"FH96",-33.8187,114.8339,20201020,10:40:01,NA,NA,NA,NA,0,0,80,80,0,0,37.5,0,0,0,37.5,0,12.5,1.25,0,11.25
"FH60",-33.8162,114.8214,20201020,10:54:30,NA,NA,NA,44.4,0,0,80,80,0,0,49.2307692307692,0,0,0,15.3846153846154,0,0,3.07692307692308,0,32.3076923076923
"FH26",-33.8112,114.8289,20201020,11:05:07,NA,NA,NA,43.9,0,1,79,80,0,0,37.3333333333333,0,0,0,28,0,2.66666666666667,10.6666666666667,0,21.3333333333333
"FH110",-33.8087,114.8214,20201020,11:17:02,NA,NA,NA,44.9,0,0,80,80,0,1.28205128205128,29.4871794871795,0,0,0,12.8205128205128,0,1.28205128205128,7.69230769230769,0,47.4358974358974
"FH48",-33.7962,114.8139,20201020,11:30:39,NA,NA,NA,45,0,0,80,80,0,0,69.8630136986301,0,0,0,13.6986301369863,0,9.58904109589041,1.36986301369863,0,5.47945205479452
"FH21",-33.7937,114.8089,20201020,11:41:29,NA,NA,NA,46.3,0,0,80,80,0,0,47.0588235294118,0,0,0,19.1176470588235,0,25,2.94117647058824,0,5.88235294117647
"FH18",-33.7912,114.8214,20201020,11:55:54,NA,NA,NA,45.1,0,0,80,80,0,0,25.3731343283582,0,0,0,38.8059701492537,0,4.47761194029851,2.98507462686567,0,28.3582089552239
"FH106",-33.7887,114.8164,20201020,12:06:58,NA,NA,NA,46.2,0,0,80,80,0,0,10.2564102564103,0,0,0,51.2820512820513,0,0,1.28205128205128,0,37.1794871794872
"FH57",-33.7887,114.8114,20201020,12:18:13,NA,NA,NA,44.2,0,3,77,80,0,0,54.5454545454545,0,0,0,19.4805194805195,0,9.09090909090909,1.2987012987013,0,15.5844155844156
"FH34",-33.7862,114.8839,20201020,12:51:20,NA,NA,NA,44.6,0,0,80,80,0,0,37.6623376623377,0,0,1.2987012987013,18.1818181818182,0,9.09090909090909,5.19480519480519,0,28.5714285714286
"FH7",-33.7837,114.8789,20201020,13:04:33,NA,NA,NA,45.2,0,1,79,80,0,0,31.1688311688312,0,0,0,36.3636363636364,0,0,15.5844155844156,0,16.8831168831169
"FH20",-33.7827,114.8727,20201020,13:17:56,NA,NA,NA,42.4,0,0,80,80,0,0,60.7594936708861,0,0,0,3.79746835443038,0,11.3924050632911,7.59493670886076,0,16.4556962025316
"FH93",-33.7762,114.8689,20201020,13:32:44,NA,NA,NA,44.3,0,0,80,80,0,0,49.3506493506493,0,0,0,12.987012987013,0,16.8831168831169,18.1818181818182,0,2.5974025974026
"FH44",-33.7712,114.8639,20201020,13:46:18,NA,NA,NA,44.5,0,0,80,80,0,0,33.3333333333333,0,0,0,7.69230769230769,0,21.7948717948718,3.84615384615385,0,33.3333333333333
"FH14",-33.7662,114.8714,20201020,13:59:42,NA,NA,NA,44.9,0,0,80,80,0,0,5,0,0,0,22.5,0,0,1.25,0,71.25
"FH95",-33.7587,114.8914,20201020,14:17:10,NA,NA,NA,NA,0,0,80,80,0,0,6.66666666666667,0,0,0,50.6666666666667,0,0,4,0,38.6666666666667
"FH62",-33.7562,114.8814,20201020,14:32:04,NA,NA,NA,45.2,0,2,78,80,0,0,15.7894736842105,0,0,2.63157894736842,27.6315789473684,0,2.63157894736842,25,0,26.3157894736842
"FH30",-33.7512,114.8889,20201020,14:44:05,NA,NA,NA,NA,0,0,80,80,0,0,6.66666666666667,0,0,0,69.3333333333333,0,0,0,0,24
"261",-33.9762,114.9214,20201030,07:00:38,NA,NA,NA,46.5,0,0,80,80,0,0,19.2307692307692,0,0,1.28205128205128,17.9487179487179,0,0,39.7435897435897,0,21.7948717948718
"338",-33.9723,114.9225,20201030,07:16:01,NA,NA,NA,46,0,0,80,80,0,0,5.26315789473684,0,0,5.26315789473684,14.4736842105263,0,0,15.7894736842105,0,59.2105263157895
"260",-33.9712,114.9164,20201030,07:25:21,NA,NA,NA,46.1,0,0,80,80,0,0,50.6493506493506,0,0,0,15.5844155844156,0,6.49350649350649,7.79220779220779,0,19.4805194805195
"259",-33.9687,114.9214,20201030,07:39:07,NA,NA,NA,46.3,0,1,79,80,0,0,36.6197183098592,0,0,0,14.0845070422535,0,2.8169014084507,42.2535211267606,0,4.22535211267606
"258",-33.9662,114.9139,20201030,07:48:52,NA,NA,NA,46.2,0,0,80,80,0,0,20,0,0,0,37.3333333333333,0,10.6666666666667,30.6666666666667,0,1.33333333333333
"FH10",-33.9862,114.8864,20201030,08:08:24,NA,NA,NA,NA,0,0,80,80,0,0,67.6470588235294,0,0,0,11.7647058823529,0,1.47058823529412,0,0,19.1176470588235
"FH111",-33.9862,114.8789,20201030,08:17:49,NA,NA,NA,NA,0,0,80,80,0,0,1.25,0,0,0,25,0,5,1.25,0,67.5
"130",-33.9812,114.8764,20201030,08:30:30,NA,NA,NA,NA,0,0,80,80,0,0,26.9230769230769,0,0,0,43.5897435897436,0,25.6410256410256,3.84615384615385,0,0
"152",-33.9812,114.8689,20201030,08:39:18,NA,NA,NA,41.9,0,0,80,80,0,0,52.0547945205479,0,0,0,23.2876712328767,0,5.47945205479452,1.36986301369863,0,17.8082191780822
"134",-33.9837,114.8614,20201030,08:47:50,NA,NA,NA,41.3,0,0,80,80,0,0,19.1176470588235,0,0,0,54.4117647058823,0,7.35294117647059,4.41176470588235,0,14.7058823529412
"133",-33.9912,114.8664,20201030,08:58:26,NA,NA,NA,40.5,0,0,80,80,0,0,17.910447761194,0,0,0,44.7761194029851,0,31.3432835820896,5.97014925373134,0,0
"132",-33.9912,114.8714,20201030,09:07:01,NA,NA,NA,42.7,0,0,80,80,0,0,12.1621621621622,0,0,0,51.3513513513513,0,28.3783783783784,0,0,8.10810810810811
"FH77",-33.9962,114.8764,20201030,09:18:46,NA,NA,NA,42,0,0,80,80,0,0,8.75,0,0,0,63.75,0,1.25,1.25,0,25
"FH52",-33.9912,114.8889,20201030,09:28:26,NA,NA,NA,42.8,0,0,80,80,0,0,46.7532467532467,0,0,0,10.3896103896104,0,18.1818181818182,0,0,24.6753246753247
"244",-34.0037,114.9064,20201030,09:46:06,NA,NA,NA,45.6,0,1,79,80,0,0,14.2857142857143,0,0,0,28.5714285714286,0,0,18.5714285714286,0,38.5714285714286
"245",-34.0087,114.9014,20201030,09:55:54,NA,NA,NA,45.5,0,0,80,80,0,0,24,0,0,0,28,0,1.33333333333333,6.66666666666667,0,40
"64",-34.0137,114.8964,20201030,10:06:10,NA,NA,NA,NA,0,0,79,79,0,0,21.25,0,0,0,36.25,0,0,8.75,0,33.75
"C01",-34.015,114.8891,20201030,10:16:53,NA,NA,NA,NA,0,1,79,80,0,0,13.9240506329114,0,0,0,84.8101265822785,0,0,1.26582278481013,0,0
"65",-34.0112,114.8889,20201030,10:25:08,NA,NA,NA,NA,0,0,80,80,0,0,55.6962025316456,0,0,0,20.253164556962,0,2.53164556962025,0,0,21.5189873417722
"272",-34.0087,114.8139,20201030,10:52:55,NA,NA,NA,50.1,0,0,80,80,0,0,13.1578947368421,0,0,0,56.578947368421,0,0,9.21052631578947,0,21.0526315789474
"337",-34.0054,114.8202,20201030,11:01:29,NA,NA,NA,43.8,0,2,78,80,0,0,9.21052631578947,0,0,0,89.4736842105263,0,0,1.31578947368421,0,0
"273",-33.9987,114.8214,20201030,11:09:00,NA,NA,NA,46,0,0,80,80,0,1.31578947368421,34.2105263157895,0,0,0,51.3157894736842,0,1.31578947368421,6.57894736842105,0,5.26315789473684
"328",-33.9936,114.8214,20201030,11:16:15,NA,NA,NA,44.8,0,0,80,80,0,0,22.5,0,0,0,62.5,0,6.25,1.25,0,7.5
"269",-33.9887,114.8139,20201030,11:26:27,NA,NA,NA,47.7,0,0,80,80,0,0,32.0512820512821,0,0,0,48.7179487179487,0,0,12.8205128205128,0,6.41025641025641
"145",-33.9862,114.8239,20201030,11:36:14,NA,NA,NA,44.3,0,0,80,80,0,0,24.6376811594203,0,0,0,56.5217391304348,0,1.44927536231884,4.34782608695652,0,13.0434782608696
"147",-33.9812,114.8314,20201030,11:45:03,NA,NA,NA,43.6,0,0,80,80,0,0,14.0845070422535,0,0,0,42.2535211267606,0,0,0,0,43.6619718309859
"158",-33.9812,114.8189,20201030,11:57:31,NA,NA,NA,46.1,0,0,80,80,0,0,43.5897435897436,0,0,0,2.56410256410256,0,0,0,0,53.8461538461538
