"sample","latitude","longitude","date","time","site","location","successful.count","habitat.backwards.image.saved","fov.facing.up","fov.limited","fov.open","fov.total.points.annotated","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.macroalgae","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.true.anemones","broad.unconsolidated","broad.total.points.annotated"
"IO133",-33.99118897,114.8663721,20201013,12:50:00,"C.IO.37","South-west","Yes","Yes",0,0,40,40,0,1,0,0,16,0,15,1,0,0,0,33
"IO134",-33.98368897,114.8613721,20201013,12:14:00,"C.IO.37","South-west","Yes","Yes",0,2,37,39,0,0,2,0,19,0,4,3,0,0,3,31
"IO145",-33.98618897,114.8238721,20201013,10:24:00,"C.IO.22","South-west","Yes","Yes",0,3,36,39,0,0,2,0,26,0,2,2,0,0,1,33
"IO146",-33.97618897,114.8213721,20201013,10:17:00,"C.IO.33","South-west","Yes","Yes",0,5,34,39,0,0,14,0,8,0,3,1,0,0,8,34
"IO147",-33.98118897,114.8313721,20201013,10:28:00,"C.IO.33","South-west","Yes","Yes",0,0,39,39,0,1,2,0,26,0,1,4,0,0,1,35
"IO148",-34.01118897,114.5963721,20201123,10:31:00,"C.IO.46","South-west","Yes","Yes",0,2,38,40,0,1,0,0,0,0,0,0,0,0,35,36
"IO15",-34.06118897,114.8663721,20201016,07:59:00,"C.IO.35","South-west","Yes","Yes",0,1,39,40,0,0,0,0,13,0,19,0,0,0,1,33
"IO152",-33.98118897,114.8688721,20201013,12:18:00,"C.IO.37","South-west","Yes","Yes",0,4,29,33,0,0,17,0,8,0,2,3,0,0,5,35
"IO153",-34.04618897,114.8888721,20201016,07:36:00,"C.IO.65","South-west","Yes","Yes",0,1,37,38,0,6,5,0,13,0,0,2,0,0,7,33
"IO155",-34.04368897,114.8838721,20201016,07:42:00,"C.IO.65","South-west","Yes","Yes",0,2,38,40,0,0,4,0,19,0,0,2,0,0,4,29
"IO157",-33.97118897,114.8238721,20201013,10:14:00,"C.IO.33","South-west","Yes","Yes",0,0,20,20,0,0,0,0,12,0,0,2,0,0,0,14
"IO158",-33.98118897,114.8188721,20201013,10:21:00,"C.IO.33","South-west","Yes","No",0,1,14,15,0,0,5,0,0,0,1,0,0,0,9,15
"IO16",-34.07368897,114.8688721,20201016,09:43:00,"C.IO.35","South-west","Yes","Yes",0,0,20,20,0,0,2,0,2,0,0,0,0,0,16,20
"IO164",-34.03368897,114.9038721,20201016,07:14:00,"C.IO.62","South-west","Yes","Yes",0,1,38,39,1,1,3,0,9,0,5,4,0,0,5,28
