"sample","latitude","longitude","date","time","site","location","successful.count","habitat.backwards.image.saved","fov.facing.up","fov.limited","fov.open","fov.total.points.annotated","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.macroalgae","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.true.anemones","broad.unconsolidated","broad.total.points.annotated"
"IO330",-34.08833333,114.7545,20201022,13:00:00,"C.IO.12","South-west","Yes","Yes",0,3,37,40,0,5,0,18,0,3,0,2,0,0,9,37
"IO331",-34.0984,114.75005,20201022,12:30:00,"C.IO.11","South-west","Yes","Yes",0,2,38,40,0,0,0,0,0,0,0,0,0,0,34,34
"IO332",-34.09718333,114.7344833,20201022,10:33:00,"C.IO.10","South-west","Yes","Yes",0,3,37,40,0,0,0,0,0,0,0,0,0,0,35,35
"IO333",-34.11301667,114.7251333,20201022,10:01:00,"C.IO.9","South-west","Yes","Yes",0,1,39,40,0,2,0,0,0,0,0,1,0,0,32,35
"IO334",-34.06155,114.7753667,20201015,10:11:00,"C.IO.8","South-west","Yes","Yes",0,2,38,40,0,0,0,0,0,0,0,0,0,0,35,35
"IO335",-34.06686667,114.7939833,20201015,10:31:00,"C.IO.7","South-west","Yes","Yes",0,3,37,40,0,1,10,0,7,0,1,8,0,0,0,27
"IO336",-34.0924,114.8663667,20201016,10:03:00,"C.IO.6","South-west","Yes","Yes",0,0,20,20,0,2,0,0,12,0,0,0,0,0,1,15
"IO337",-34.00536667,114.8202333,20201019,07:02:00,"C.IO.21","South-west","Yes","Yes",0,3,37,40,0,0,1,0,35,0,0,1,0,0,0,37
"IO338",-33.97231667,114.92245,20201019,11:50:00,"C.IO.20","South-west","Yes","Yes",0,5,32,37,1,1,1,0,3,0,0,1,0,0,26,33
"IO339",-34.01461667,114.8785,20201019,09:41:00,"C.IO.19","South-west","Yes","Yes",0,1,39,40,0,3,5,0,19,1,1,9,0,0,0,38
"IO34",-34.06118897,114.8713721,20201016,08:02:00,"C.IO.35","South-west","Yes","Yes",0,0,40,40,0,0,5,0,16,0,4,0,0,0,0,25
"IO343",-34.10261667,114.6407167,20201123,07:38:00,"C.IO.15","South-west","Yes","Yes",0,3,37,40,0,0,0,0,0,0,0,2,0,0,35,37
"IO344",-34.0844,114.6744,20201023,09:28:00,"C.IO.14","South-west","Yes","Yes",0,0,20,20,0,0,0,0,0,0,0,0,0,0,20,20
"IO349",-34.02368897,114.5963721,20201123,10:03:00,"C.IO.27","South-west","Yes","Yes",0,1,39,40,0,2,0,1,0,0,0,2,0,0,31,36
"IO350",-34.02618897,114.6038721,20201123,09:56:00,"C.IO.27","South-west","Yes","Yes",0,1,39,40,0,2,0,0,0,0,0,1,0,0,35,38
"IO351",-34.03118897,114.5963721,20201123,10:13:00,"C.IO.27","South-west","Yes","Yes",0,5,35,40,0,2,0,0,0,0,0,0,0,0,31,33
"IO352",-34.03618897,114.5988721,20201123,09:43:00,"C.IO.27","South-west","Yes","Yes",0,0,40,40,0,7,0,4,0,0,0,6,0,0,23,40
"IO353",-34.05436667,114.8390667,20201015,14:43:00,"C.IO.5","South-west","Yes","Yes",0,0,39,39,0,0,3,0,34,0,0,0,0,0,1,38
"IO354",-34.06605,114.84,20201015,14:29:00,"C.IO.4","South-west","Yes","Yes",0,1,38,39,0,0,5,0,17,0,16,0,0,0,1,39
"IO355",-34.05473333,114.9111,20201029,10:38:00,"C.IO.3","South-west","Yes","Yes",0,3,37,40,0,0,2,0,2,0,0,0,0,0,15,19
"IO356",-34.06956667,114.9184667,20201016,12:39:00,"C.IO.2","South-west","Yes","Yes",0,1,38,39,0,0,10,1,11,0,0,3,0,0,10,35
"IO357",-34.08496667,114.928,20201016,12:08:00,"C.IO.1","South-west","Yes","Yes",0,1,39,40,0,3,4,0,7,0,0,9,0,0,8,31
"IO36",-34.10368897,114.7188721,20201022,10:23:00,"C.IO.55","South-west","Yes","Yes",0,3,37,40,0,0,0,0,0,0,0,0,0,0,29,29
"IO361",-33.98868897,114.7413721,20201015,07:35:00,"C.IO.25","South-west","Yes","Yes",0,1,39,40,0,7,0,4,0,0,0,2,0,0,19,32
"IO363",-33.98618897,114.7513721,20201015,07:26:00,"C.IO.25","South-west","Yes","Yes",0,3,37,40,0,14,0,0,1,7,0,12,0,0,0,34
"IO364",-34.00868897,114.6888721,20201123,12:21:00,"C.IO.24","South-west","Yes","Yes",0,2,38,40,0,0,0,0,0,0,0,3,0,0,31,34
"IO365",-34.02368897,114.7538721,20201015,08:23:00,"C.IO.23","South-west","Yes","Yes",0,0,40,40,0,17,0,4,2,0,0,11,0,0,0,34
"IO369",-34.02868897,114.5913721,20201123,10:08:00,"C.IO.27","South-west","Yes","Yes",0,3,37,40,0,6,0,1,0,0,0,2,0,0,22,31
"IO37",-34.10868897,114.7188721,20201022,10:12:00,"C.IO.55","South-west","Yes","Yes",0,3,37,40,0,7,0,0,0,0,0,2,0,0,27,36
"IO370",-33.99618897,114.6463721,20201023,12:10:00,"C.IO.26","South-west","Yes","Yes",0,4,36,40,0,1,0,0,0,0,0,2,0,0,31,34
"IO372",-34.00618897,114.6438721,20201023,11:53:00,"C.IO.26","South-west","Yes","Yes",0,0,20,20,0,1,0,0,0,0,0,1,0,0,18,20
"IO374",-33.98618897,114.7463721,20201015,07:31:00,"C.IO.25","South-west","Yes","Yes",0,7,33,40,0,12,0,5,0,3,0,3,0,0,2,25
"IO377",-34.13868897,114.7588721,20201022,07:40:00,"C.IO.69","South-west","Yes","Yes",0,3,37,40,0,0,0,0,0,0,0,0,0,0,37,37
"IO378",-33.99368897,114.6388721,20201023,12:04:00,"C.IO.26","South-west","Yes","Yes",0,3,37,40,0,3,0,0,0,0,0,1,0,0,32,36
"IO379",-34.08368897,114.6813721,20201123,06:58:00,"C.IO.14","South-west","Yes","Yes",0,3,37,40,0,1,0,0,0,0,0,0,0,0,31,32
"IO4",-34.09118897,114.7813721,20201015,12:17:00,"C.IO.43","South-west","Yes","Yes",0,1,39,40,0,10,1,0,1,2,0,7,0,0,1,22
"IO40",-34.10368897,114.7138721,20201022,10:17:00,"C.IO.55","South-west","Yes","Yes",0,4,35,39,0,0,0,0,0,0,0,0,0,0,32,32
"IO46",-34.06868897,114.7113721,20201023,06:44:00,"C.IO.34","South-west","Yes","Yes",0,2,38,40,0,0,0,0,0,0,0,0,0,0,38,38
"IO47",-34.06368897,114.7113721,20201023,06:53:00,"C.IO.34","South-west","Yes","Yes",0,0,40,40,0,3,0,0,0,0,0,0,0,0,7,10
"IO49",-34.06118897,114.7063721,20201023,06:59:00,"C.IO.34","South-west","Yes","Yes",0,1,39,40,0,0,0,0,0,0,0,0,0,0,36,36
"IO5",-34.08868897,114.7763721,20201015,12:12:00,"C.IO.43","South-west","Yes","Yes",0,2,38,40,0,0,0,1,0,0,0,0,0,0,28,29
"IO58",-34.13618897,114.7738721,20201022,07:21:00,"C.IO.69","South-west","Yes","Yes",0,6,34,40,0,6,0,6,0,3,0,1,0,0,13,29
"IO59",-34.14118897,114.7663721,20201022,07:33:00,"C.IO.69","South-west","Yes","Yes",0,0,20,20,0,0,0,2,0,0,0,0,0,0,18,20
"IO62",-34.13368897,114.7663721,20201022,07:45:00,"C.IO.69","South-west","Yes","Yes",0,1,39,40,0,0,0,0,0,0,0,0,0,0,36,36
"IO64",-34.01368897,114.8963721,20201019,11:26:00,"C.IO.47","South-west","Yes","Yes",0,2,38,40,0,0,2,0,20,0,0,1,0,0,6,29
"IO65",-34.01118897,114.8888721,20201019,11:20:00,"C.IO.53","South-west","Yes","Yes",0,3,37,40,0,0,12,0,6,0,0,1,0,0,14,33
"IO66",-34.01618897,114.8813721,20201019,09:36:00,"C.IO.19","South-west","Yes","Yes",0,1,38,39,0,5,2,0,17,0,6,4,0,0,5,39
"IO71",-34.00368897,114.6988721,20201123,12:31:00,"C.IO.41","South-west","Yes","Yes",0,1,39,40,0,1,0,0,0,0,0,0,0,0,36,37
"IO72",-34.03618897,114.8463721,20201019,09:05:00,"C.IO.60","South-west","Yes","Yes",0,1,25,26,0,0,1,0,29,0,1,1,0,0,0,32
"IO73",-34.02868897,114.8588721,20201019,09:22:00,"C.IO.60","South-west","Yes","Yes",0,0,33,33,0,0,6,0,18,0,10,0,0,0,0,34
"IO74",-34.02868897,114.8513721,20201019,09:14:00,"C.IO.60","South-west","Yes","Yes",0,0,39,39,0,0,2,0,9,0,19,5,0,0,0,35
"IO75",-34.03368897,114.8538721,20201019,09:10:00,"C.IO.60","South-west","Yes","Yes",0,3,32,35,0,0,5,0,12,0,10,1,1,0,1,30
"IO80",-34.09368897,114.8888721,20201016,10:30:00,"C.IO.52","South-west","Yes","Yes",0,5,35,40,0,0,3,0,18,0,9,2,0,0,0,32
"IO81",-34.09868897,114.8913721,20201016,10:20:00,"C.IO.52","South-west","Yes","No",0,0,19,19,0,0,1,0,12,0,2,0,0,0,5,20
"IO91",-34.09368897,114.8938721,20201016,10:25:00,"C.IO.52","South-west","Yes","Yes",0,4,36,40,0,5,1,0,14,0,0,0,0,0,5,25
"IO92",-34.09868897,114.8863721,20201016,10:16:00,"C.IO.52","South-west","Yes","Yes",0,1,39,40,0,1,8,0,18,0,5,1,0,0,0,33
"IO95",-34.12618897,114.7338721,20201022,08:21:00,"C.IO.68","South-west","Yes","Yes",0,2,38,40,0,0,0,0,0,0,0,0,0,0,38,38
"IO96",-34.13618897,114.7363721,20201022,08:06:00,"C.IO.68","South-west","Yes","Yes",0,1,39,40,0,0,0,0,0,0,0,0,0,0,37,37
"IO98",-34.13368897,114.7313721,20201022,08:13:00,"C.IO.68","South-west","Yes","Yes",0,3,37,40,0,0,0,0,0,0,0,1,0,0,30,31
"IOC04",-34.08755,114.749265,20201022,13:16:00,"C.IO.12","South-west","Yes","Yes",0,1,39,40,0,1,0,0,0,0,0,0,0,0,33,34
"IOC05",-34.05394,114.899843,20201029,10:46:00,"C.IO.3","South-west","Yes","Yes",0,10,30,40,0,0,1,0,14,0,0,1,0,0,2,18
"IOC06",-34.048689,114.876372,20201016,07:48:00,"C.IO.65","South-west","Yes","Yes",0,6,12,18,0,0,2,0,1,0,10,1,0,0,0,14
"IOCP11-1",-33.992845,114.696642,20201123,12:39:00,"C.IO.41","South-west","Yes","Yes",0,3,37,40,0,0,0,0,0,0,0,1,0,0,31,32
"IOCP11-2",-33.974332,114.692773,20201123,12:47:00,"C.IO.41","South-west","Yes","Yes",0,1,39,40,0,7,2,4,0,3,0,19,0,0,1,36
"IOCP2311",-34.01858,114.601465,20201123,10:19:00,"C.IO.46","South-west","Yes","No",0,2,17,19,0,0,0,1,0,0,0,0,0,0,17,18
"IOREDO344",-34.0844,114.6744,20201123,07:12:00,"C.IO.14","South-west","Yes","No",0,4,16,20,0,1,0,0,0,0,0,0,0,0,13,14
