"sample","distance.to.ramp"
"01",13.6083530192968
"02",14.0063885102948
"03",14.0488406037962
"04",14.7467891542619
"05",14.3321876010289
"06",14.453531004296
"07",14.4573297353596
"08",14.7625482420526
"09",15.2629362078686
"10",15.291500199922
"11",14.9912201342972
"12",13.4477921618731
"13",13.6353446279756
"14",13.9574643643637
"15",15.1931841220986
"16",15.3524955728911
"17",13.9490760496439
"18",14.0191224527545
"20",21.6003700941527
"21",21.9344601030811
"22",21.8639832798859
"23",21.8781464473762
"24",20.8316067517453
"25",20.5502021162824
"26",20.829193858631
"27",20.6411944565664
"28",18.6982983364536
"29",18.3289291614459
"30",18.1751135929063
"31",18.4240525998241
"32",18.3720305640102
"33",18.0664444557564
"34",17.9145167191906
"35",17.4488933334306
"36",17.0488571692215
"37",17.2747031140268
"38",16.8050999051033
"39",16.4462306274357
"40",16.6788478041507
"FH10",9.67144788014268
"FH102",6.57027330641168
"FH106",17.6205862984928
"FH108",12.1374977701669
"FH109",9.65894515587748
"FH11",6.30727675443962
"FH110",16.3201460281137
"FH111",10.3617441487177
"FH113",19.4209319557248
"FH12",10.7228228537215
"FH14",14.867921557948
"FH15",17.6853022543722
"FH16",12.9849411435833
"FH17",10.6348826867966
"FH18",17.083605489606
"FH2",11.088299291363
"FH20",13.2404671121975
"FH21",18.0132551318092
"FH23",15.7443364759622
"FH24",14.0990010557809
"FH25",15.9476184459351
"FH26",15.5744459677915
"FH27",11.013842556197
"FH28",11.677111505213
"FH30",13.4110973376081
"FH31",15.9522964731035
"FH32",5.45351000717209
"FH33",16.2878504405656
"FH34",12.5214103394941
"FH35",5.87338399899756
"FH37",17.4757396909525
"FH39",7.19051111585555
"FH40",11.6098952824767
"FH41",14.5608466737679
"FH42",16.4440548837845
"FH44",15.0083658199089
"FH45",18.4444859676228
"FH46",11.6338406451812
"FH47",13.8333895316716
"FH48",17.4788923668952
"FH49",9.5456022847997
"FH5",5.71762187458261
"FH50",6.13113307575937
"FH51",13.4079559205088
"FH52",9.43056758085411
"FH54",11.2336127494527
"FH55",10.2277754979412
"FH56",11.5985246978274
"FH57",18.0356882459857
"FH58",14.3473862397268
"FH59",16.4108714799416
"FH6",16.6654489380646
"FH60",16.0540568940256
"FH61",11.5815148426304
"FH62",14.2977329148292
"FH63",16.6677980086155
"FH64",6.33696324512195
"FH65",17.106318809494
"FH66",7.06967123653468
"FH67",6.74718920948046
"FH68",15.5798984609357
"FH69",18.0293177756953
"FH7",13.0537401661136
"FH70",13.8723183090771
"FH71",15.8062985216663
"FH72",6.34953822621381
"FH74",18.8266831094507
"FH77",10.601623836915
"FH78",7.4868743818
"FH79",16.7634014081873
"FH8",18.9814876147391
"FH82",6.93391950386998
"FH83",14.2640246951575
"FH84",19.5733096092012
"FH85",10.0785704763073
"FH87",11.2861265267966
"FH89",18.1152743041527
"FH9",13.4158859825667
"FH92",10.853306234661
"FH93",14.2968856387802
"FH94",6.98835857651863
"FH95",13.8212991871034
"FH96",14.8697270781338
"FH99",14.8386675306039
"FHA",5.59973460088931
"FHB",3.8453125642486
"FHC",3.11986526241333
"FHC01",17.2467073755695
"FHC02",17.934391663499
"FHC03",16.4842602786595
"FHD",3.96406548174169
"FHE",4.59042772543327
"IO1",21.8826985303383
"IO100",12.1902733071584
"IO101",13.1439764153063
"IO102",11.6133710620514
"IO105",30.7863360791405
"IO107",30.1208664758787
"IO108",30.4500008787835
"IO109",30.1305197311765
"IO110",28.8917129004484
"IO113",24.4516735336191
"IO115",24.5058302615055
"IO117",24.6293699570006
"IO119",12.4819162729525
"IO122",20.6406928800608
"IO123",20.436475547265
"IO125",20.085723509165
"IO126",20.9710875162023
"IO130",10.630626772698
"IO132",11.0428135848789
"IO133",11.5034591921875
"IO134",11.9867428124918
"IO145",15.4258841165656
"IO146",15.7287160520324
"IO147",14.7632828879332
"IO148",36.4485562663979
"IO15",13.9378694647085
"IO152",11.3187141879276
"IO153",11.2889249583967
"IO155",11.5309961195907
"IO157",15.5659945693982
"IO158",15.9124947027773
"IO16",14.5882346120165
"IO164",9.38012232708733
"IO165",10.3707161452214
"IO17",13.3560576486378
"IO180",26.4819005756712
"IO184",9.8342350739738
"IO189",30.1608648969153
"IO191",29.4823440656951
"IO192",29.7036116642392
"IO194",30.1661071917585
"IO195",16.7483560915445
"IO199",16.0158524890675
"IO201",16.2364088230343
