"campaignid","sample","latitude","longitude","depth","method","depth.multibeam","slope","aspect","roughness","tpi","flowdir","detrended"
"2020-06_south-west_stereo-BRUVs","01",-34.128599,114.930865,46.7,"BRUV",47.4797134399414,0.0555727742612362,4.79111480712891,0.547453999519348,-0.0651882737874985,16,-3.20522594451904
"2020-06_south-west_stereo-BRUVs","02",-34.125316,114.928838,44.4,"BRUV",45.1958084106445,0.0496233701705933,0.844672918319702,0.546893239021301,0.00855654664337635,1,-0.580976068973541
"2020-06_south-west_stereo-BRUVs","03",-34.126906,114.925945,39.3,"BRUV",40.2618675231934,0.0870457291603088,5.08118295669556,0.901534616947174,-0.0303972065448761,16,4.00337600708008
"2020-06_south-west_stereo-BRUVs","04",-34.122634,114.920337,44.1,"BRUV",45.5152435302734,0.00527942134067416,4.21239185333252,0.0663362219929695,-0.027452178299427,4,-1.06260538101196
"2020-06_south-west_stereo-BRUVs","05",-34.131497,114.915753,44.1,"BRUV",44.2462730407715,0.00257452391088009,6.24385786056519,0.0452103689312935,-0.0148035427555442,32,-1.17071223258972
"2020-06_south-west_stereo-BRUVs","06",-34.132842,114.912405,43.2,"BRUV",44.1712760925293,0.00608334364369512,2.55073308944702,0.0743396729230881,0.0191150102764368,1,-1.38399052619934
"2020-06_south-west_stereo-BRUVs","07",-34.134771,114.910241,43.9,"BRUV",44.3988380432129,0.00236326595768332,2.22338032722473,0.058172307908535,0.0105492249131203,1,-1.80646884441376
"2020-06_south-west_stereo-BRUVs","08",-34.129352,114.911755,39.6,"BRUV",41.0257835388184,0.160393059253693,3.11744499206543,1.79340493679047,0.0956711024045944,16,2.00835418701172
"2020-06_south-west_stereo-BRUVs","09",-34.119541,114.916105,43.8,"BRUV",44.8568687438965,0.0171171668916941,0.246698305010796,0.221910074353218,0.0177089478820562,1,-0.30343958735466
"2020-06_south-west_stereo-BRUVs","10",-34.117294,114.918685,45.7,"BRUV",46.7235488891602,0.0427488386631012,0.555694401264191,0.420584291219711,-0.10969565063715,1,-1.66758036613464
"2020-06_south-west_stereo-BRUVs","11",-34.117752,114.92306,45.08,"BRUV",46.6423110961914,0.012820091098547,0.376470923423767,0.262039422988892,-0.130563974380493,16,-1.33685755729675
"2020-06_south-west_stereo-BRUVs","12",-34.132262,114.928545,40.1,"BRUV",40.0310287475586,0.0558522343635559,3.14711999893188,0.533334016799927,0.100559093058109,16,3.7294545173645
"2020-06_south-west_stereo-BRUVs","13",-34.128506,114.930547,45.2,"BRUV",46.9983139038086,0.196070551872253,1.60546064376831,1.6631383895874,0.118448741734028,1,-2.72138381004333
"2020-06_south-west_stereo-BRUVs","14",-34.128381,114.925457,35,"BRUV",37.0380210876465,0.138590648770332,0.462677180767059,1.37394464015961,0.0955904647707939,1,7.01488351821899
"2020-06_south-west_stereo-BRUVs","15",-34.125012,114.91032,43,"BRUV",43.7839584350586,0.120717614889145,3.27855157852173,1.44986534118652,0.121169224381447,1,-0.36316442489624
"2020-06_south-west_stereo-BRUVs","16",-34.126181,114.906548,40.9,"BRUV",43.624698638916,0.12195710837841,2.24533796310425,1.22358381748199,0.0901490747928619,1,-0.524068117141724
"2020-06_south-west_stereo-BRUVs","17",-34.132142,114.92083,40.2,"BRUV",41.5524291992188,0.109106674790382,2.92102718353271,1.06109070777893,0.0958095341920853,1,1.791255235672
"2020-06_south-west_stereo-BRUVs","18",-34.128679,114.924078,35.8,"BRUV",36.1955490112305,0.0246960036456585,5.14682245254517,0.281069546937943,0.050883661955595,16,7.73628520965576
"2020-06_south-west_stereo-BRUVs","20",-34.130219,114.820233,51.7,"BRUV",52.6652565002441,0.0225472021847963,5.51938915252686,0.197806462645531,0.0211992673575878,16,0.195996358990669
"2020-06_south-west_stereo-BRUVs","21",-34.128151,114.817448,52.4,"BRUV",52.7222518920898,0.0104595348238945,5.92639207839966,0.123128719627857,0.0492234192788601,16,0.447963327169418
"2020-06_south-west_stereo-BRUVs","22",-34.126271,114.819552,51.9,"BRUV",52.7560882568359,0.00756106711924076,6.16169309616089,0.077839270234108,-0.0280629303306341,32,-0.536510705947876
"2020-06_south-west_stereo-BRUVs","23",-34.124217,114.817017,51.3,"BRUV",52.6917495727539,0.032309103757143,5.25280857086182,0.404467165470123,-0.0708637982606888,64,-0.208098590373993
"2020-06_south-west_stereo-BRUVs","24",-34.118739,114.826402,49.8,"BRUV",50.2355155944824,0.00334377051331103,3.38142395019531,0.052878625690937,0.0183858927339315,16,-0.428386300802231
"2020-06_south-west_stereo-BRUVs","25",-34.116829,114.828432,48.4,"BRUV",49.6295890808105,0.00778982043266296,3.69658660888672,0.104789063334465,-0.0310216750949621,4,-0.337080121040344
"2020-06_south-west_stereo-BRUVs","26",-34.120881,114.828907,48.4,"BRUV",49.8594207763672,0.0762365907430649,1.42335116863251,0.69279408454895,-0.0705940723419189,1,-0.330067038536072
"2020-06_south-west_stereo-BRUVs","27",-34.121824,114.832898,47.8,"BRUV",48.0381278991699,0.0061937477439642,2.2938916683197,0.0894938111305237,0.0496774315834045,1,0.815145015716553
"2020-06_south-west_stereo-BRUVs","28",-34.112916,114.852137,44.7,"BRUV",44.7076530456543,0.00264507881365716,0.0615939944982529,0.218783304095268,0.058922003954649,1,-0.427327871322632
"2020-06_south-west_stereo-BRUVs","29",-34.111084,114.855648,43,"BRUV",44.6790351867676,0.0099295349791646,3.02002573013306,0.165702775120735,-0.071789488196373,2,-1.02348756790161
"2020-06_south-west_stereo-BRUVs","30",-34.112094,114.85946,42.9,"BRUV",44.5010261535645,0.0289961658418179,0.290490031242371,0.265856087207794,-0.0339890457689762,1,-1.17089807987213
"2020-06_south-west_stereo-BRUVs","31",-34.116007,114.860738,44.4,"BRUV",44.3971252441406,0.0475980415940285,5.87649345397949,0.497400850057602,0.0568328946828842,16,-0.884761035442352
"2020-06_south-west_stereo-BRUVs","32",-34.130076,114.86109,43.2,"BRUV",44.2820472717285,0.0104147139936686,4.89211416244507,0.130573451519012,-0.0450236536562443,64,0.549505829811096
"2020-06_south-west_stereo-BRUVs","33",-34.133067,114.8627,43.6,"BRUV",44.1517639160156,0.00112629833165556,6.21295261383057,0.062193725258112,-0.0394057147204876,64,0.783392012119293
"2020-06_south-west_stereo-BRUVs","34",-34.131334,114.866053,42.7,"BRUV",44.3274917602539,0.00248564081266522,1.41518700122833,0.0496698431670666,0.00740935606881976,1,0.0335719771683216
"2020-06_south-west_stereo-BRUVs","35",-34.134801,114.869348,43.8,"BRUV",43.7988090515137,0.0282502043992281,5.83792924880981,0.31948646903038,0.0146322231739759,16,0.499473601579666
"2020-06_south-west_stereo-BRUVs","36",-34.130484,114.878263,42.2,"BRUV",42.6771087646484,0.00661533325910568,4.8821587562561,0.347261607646942,-0.188021197915077,16,0.587494134902954
"2020-06_south-west_stereo-BRUVs","37",-34.126354,114.878937,41.2,"BRUV",42.9754600524902,0.00650046160444617,4.76165914535522,0.127465009689331,0.0625854581594467,16,0.160662069916725
"2020-06_south-west_stereo-BRUVs","38",-34.127912,114.883938,41.8,"BRUV",42.6322326660156,0.00867035333067179,0.189330294728279,0.0891804099082947,0.0271209757775068,1,0.321686148643494
"2020-06_south-west_stereo-BRUVs","39",-34.132294,114.884797,42.2,"BRUV",42.7178649902344,0.00696979509666562,6.04023456573486,0.0805319026112556,0.0086384667083621,16,0.212171867489815
"2020-06_south-west_stereo-BRUVs","40",-34.133669,114.880443,41.2,"BRUV",42.7340507507324,0.00730094313621521,0.762133181095123,0.0730073153972626,-0.00310669117607176,1,0.498070776462555
"2020-10_south-west_stereo-BRUVs","IO1",-34.07868897,114.7788721,64.6,"BRUV",65.6674957275391,0.0431446768343449,1.15633881092072,0.52597314119339,-0.143256038427353,1,1.87606859207153
"2020-10_south-west_stereo-BRUVs","IO100",-34.07618897,114.9088721,43.6,"BRUV",45.0910873413086,0.0112025616690516,2.68355751037598,0.102293722331524,0.0275074914097786,1,0.0347711853682995
"2020-10_south-west_stereo-BRUVs","IO101",-34.07868897,114.8963721,43.5,"BRUV",43.679988861084,0.00687466934323311,2.47570037841797,0.211391478776932,0.139415368437767,16,0.78760826587677
"2020-10_south-west_stereo-BRUVs","IO102",-34.07118897,114.9113721,45.2,"BRUV",47.0694580078125,0.00549482274800539,4.14322710037231,0.103398732841015,-0.00245452392846346,16,-1.75378715991974
"2020-10_south-west_stereo-BRUVs","IO113",-34.05868897,114.7388721,111,"BRUV",112.577453613281,0.0148628521710634,4.61365175247192,0.139174088835716,-0.0156077891588211,16,-2.28028225898743
"2020-10_south-west_stereo-BRUVs","IO115",-34.05368897,114.7363721,112,"BRUV",113.642753601074,0.00110156566370279,4.06704330444336,0.0411942899227142,0.0222100131213665,16,-1.83569133281708
"2020-10_south-west_stereo-BRUVs","IO117",-34.06368897,114.7388721,115,"BRUV",113.879768371582,0.0104874419048429,4.59193706512451,0.147990956902504,-0.0516542494297028,16,-2.30789971351624
"2020-10_south-west_stereo-BRUVs","IO119",-34.07618897,114.9038721,43.8,"BRUV",44.696044921875,0.0116848172619939,1.06971180438995,0.12452057749033,-0.0387625955045223,1,0.183357790112495
"2020-10_south-west_stereo-BRUVs","IO122",-34.11618897,114.8263721,57.4,"BRUV",50.4696960449219,0.0172675345093012,3.95606184005737,0.180318027734756,0.00675179436802864,16,-0.839992046356201
"2020-10_south-west_stereo-BRUVs","IO123",-34.10618897,114.8188721,49.1,"BRUV",50.9112434387207,0.00730342464521527,3.16468596458435,0.137288480997086,-0.0129145178943872,1,-0.168066024780273
"2020-10_south-west_stereo-BRUVs","IO125",-34.10868897,114.8263721,55.8,"BRUV",50.4277305603027,0.00144854793325067,4.76830339431763,0.0800388902425766,-0.0011867790017277,4,-0.962883353233337
"2020-10_south-west_stereo-BRUVs","IO126",-34.11368897,114.8188721,58.2,"BRUV",50.2694892883301,0.0277976859360933,4.4094090461731,0.272008001804352,0.000508562137838453,16,0.573253989219666
"2020-10_south-west_stereo-BRUVs","IO15",-34.06118897,114.8663721,40.8,"BRUV",41.6138381958008,0.0125653007999063,4.50707340240479,0.138964518904686,0.0512776114046574,16,0.60516220331192
"2020-10_south-west_stereo-BRUVs","IO153",-34.04618897,114.8888721,42.6,"BRUV",44.0345077514648,0.011098706163466,0.4918292760849,0.166476517915726,-0.0894761085510254,32,-0.0892726331949234
"2020-10_south-west_stereo-BRUVs","IO155",-34.04368897,114.8838721,41.9,"BRUV",43.3107223510742,0.00372268864884973,1.09329891204834,0.0561608225107193,0.0150177730247378,1,-0.119619816541672
"2020-10_south-west_stereo-BRUVs","IO16",-34.07368897,114.8688721,41.4,"BRUV",42.2464141845703,0.0151782501488924,0.669108986854553,0.187644988298416,-0.0100833503529429,1,0.281866103410721
"2020-10_south-west_stereo-BRUVs","IO164",-34.03368897,114.9038721,44.1,"BRUV",45.528190612793,0.00185369083192199,6.04321146011353,0.0751663222908974,-0.0395506210625172,2,1.61172640323639
"2020-10_south-west_stereo-BRUVs","IO165",-34.04368897,114.8988721,42.6,"BRUV",44.6251945495605,0.00765587948262691,1.34976744651794,0.0914602130651474,0.00277754967100918,1,1.32727372646332
"2020-10_south-west_stereo-BRUVs","IO17",-34.06368897,114.8763721,41.1,"BRUV",41.8505020141602,0.00768694840371609,2.10043692588806,0.193832382559776,0.00814539566636086,2,0.801787853240967
"2020-10_south-west_stereo-BRUVs","IO184",-34.04118897,114.9038721,45.9,"BRUV",46.1635208129883,0.00756509229540825,1.39638924598694,0.147029384970665,0.000379144883481786,1,0.977124154567719
"2020-10_south-west_stereo-BRUVs","IO195",-34.09368897,114.8588721,43.4,"BRUV",44.4779396057129,0.00848811864852905,0.749370753765106,0.264085441827774,-0.0857414901256561,128,-1.58781111240387
"2020-10_south-west_stereo-BRUVs","IO199",-34.08618897,114.8613721,42.1,"BRUV",43.6505317687988,0.00562915857881308,1.75496971607208,0.125424206256866,-0.03463039919734,64,-0.904768943786621
"2020-10_south-west_stereo-BRUVs","IO201",-34.05618897,114.8338721,45.3,"BRUV",46.3686332702637,0.00168202619533986,5.37563276290894,0.0420740395784378,-0.00192121008876711,64,-0.392403036355972
"2020-10_south-west_stereo-BRUVs","IO204",-34.06618897,114.7863721,61.5,"BRUV",61.809455871582,0.0214835405349731,4.76703214645386,0.199199438095093,0.0778786092996597,16,-2.86980724334717
"2020-10_south-west_stereo-BRUVs","IO206",-34.06368897,114.7913721,58.2,"BRUV",59.5322723388672,0.0291665811091661,4.56142520904541,0.307464212179184,-0.0519588254392147,16,-3.34140801429749
"2020-10_south-west_stereo-BRUVs","IO207",-34.06118897,114.7863721,60.4,"BRUV",61.4954719543457,0.0103847375139594,0.868234395980835,0.116135582327843,-0.000762558251153678,1,-3.07608079910278
