"campaignid","sample","latitude","longitude","depth","depth.multibeam","slope","aspect","roughness","tpi","flowdir","detrended"
"2020-06_south-west_stereo-BRUVs","01",-34.128599,114.930865,46.7,47.4797134399414,0.0555727742612362,4.79111480712891,0.547453999519348,-0.0651882737874985,16,-3.20522594451904
"2020-06_south-west_stereo-BRUVs","02",-34.125316,114.928838,44.4,45.1958084106445,0.0496233701705933,0.844672918319702,0.546893239021301,0.00855654664337635,1,-0.580976068973541
"2020-06_south-west_stereo-BRUVs","03",-34.126906,114.925945,39.3,40.2618675231934,0.0870457291603088,5.08118295669556,0.901534616947174,-0.0303972065448761,16,4.00337600708008
"2020-06_south-west_stereo-BRUVs","04",-34.122634,114.920337,44.1,45.5152435302734,0.00527942134067416,4.21239185333252,0.0663362219929695,-0.027452178299427,4,-1.06260538101196
"2020-06_south-west_stereo-BRUVs","05",-34.131497,114.915753,44.1,44.2462730407715,0.00257452391088009,6.24385786056519,0.0452103689312935,-0.0148035427555442,32,-1.17071223258972
"2020-06_south-west_stereo-BRUVs","06",-34.132842,114.912405,43.2,44.1712760925293,0.00608334364369512,2.55073308944702,0.0743396729230881,0.0191150102764368,1,-1.38399052619934
"2020-06_south-west_stereo-BRUVs","07",-34.134771,114.910241,43.9,44.3988380432129,0.00236326595768332,2.22338032722473,0.058172307908535,0.0105492249131203,1,-1.80646884441376
"2020-06_south-west_stereo-BRUVs","08",-34.129352,114.911755,39.6,41.0257835388184,0.160393059253693,3.11744499206543,1.79340493679047,0.0956711024045944,16,2.00835418701172
"2020-06_south-west_stereo-BRUVs","09",-34.119541,114.916105,43.8,44.8568687438965,0.0171171668916941,0.246698305010796,0.221910074353218,0.0177089478820562,1,-0.30343958735466
"2020-06_south-west_stereo-BRUVs","10",-34.117294,114.918685,45.7,46.7235488891602,0.0427488386631012,0.555694401264191,0.420584291219711,-0.10969565063715,1,-1.66758036613464
"2020-06_south-west_stereo-BRUVs","11",-34.117752,114.92306,45.08,46.6423110961914,0.012820091098547,0.376470923423767,0.262039422988892,-0.130563974380493,16,-1.33685755729675
"2020-06_south-west_stereo-BRUVs","12",-34.132262,114.928545,40.1,40.0310287475586,0.0558522343635559,3.14711999893188,0.533334016799927,0.100559093058109,16,3.7294545173645
"2020-06_south-west_stereo-BRUVs","13",-34.128506,114.930547,45.2,46.9983139038086,0.196070551872253,1.60546064376831,1.6631383895874,0.118448741734028,1,-2.72138381004333
"2020-06_south-west_stereo-BRUVs","14",-34.128381,114.925457,35,37.0380210876465,0.138590648770332,0.462677180767059,1.37394464015961,0.0955904647707939,1,7.01488351821899
"2020-06_south-west_stereo-BRUVs","15",-34.125012,114.91032,43,43.7839584350586,0.120717614889145,3.27855157852173,1.44986534118652,0.121169224381447,1,-0.36316442489624
"2020-06_south-west_stereo-BRUVs","16",-34.126181,114.906548,40.9,43.624698638916,0.12195710837841,2.24533796310425,1.22358381748199,0.0901490747928619,1,-0.524068117141724
"2020-06_south-west_stereo-BRUVs","17",-34.132142,114.92083,40.2,41.5524291992188,0.109106674790382,2.92102718353271,1.06109070777893,0.0958095341920853,1,1.791255235672
"2020-06_south-west_stereo-BRUVs","18",-34.128679,114.924078,35.8,36.1955490112305,0.0246960036456585,5.14682245254517,0.281069546937943,0.050883661955595,16,7.73628520965576
"2020-06_south-west_stereo-BRUVs","20",-34.130219,114.820233,51.7,52.6652565002441,0.0225472021847963,5.51938915252686,0.197806462645531,0.0211992673575878,16,0.195996358990669
"2020-06_south-west_stereo-BRUVs","21",-34.128151,114.817448,52.4,52.7222518920898,0.0104595348238945,5.92639207839966,0.123128719627857,0.0492234192788601,16,0.447963327169418
"2020-06_south-west_stereo-BRUVs","22",-34.126271,114.819552,51.9,52.7560882568359,0.00756106711924076,6.16169309616089,0.077839270234108,-0.0280629303306341,32,-0.536510705947876
"2020-06_south-west_stereo-BRUVs","23",-34.124217,114.817017,51.3,52.6917495727539,0.032309103757143,5.25280857086182,0.404467165470123,-0.0708637982606888,64,-0.208098590373993
"2020-06_south-west_stereo-BRUVs","24",-34.118739,114.826402,49.8,50.2355155944824,0.00334377051331103,3.38142395019531,0.052878625690937,0.0183858927339315,16,-0.428386300802231
"2020-06_south-west_stereo-BRUVs","25",-34.116829,114.828432,48.4,49.6295890808105,0.00778982043266296,3.69658660888672,0.104789063334465,-0.0310216750949621,4,-0.337080121040344
"2020-06_south-west_stereo-BRUVs","26",-34.120881,114.828907,48.4,49.8594207763672,0.0762365907430649,1.42335116863251,0.69279408454895,-0.0705940723419189,1,-0.330067038536072
"2020-06_south-west_stereo-BRUVs","27",-34.121824,114.832898,47.8,48.0381278991699,0.0061937477439642,2.2938916683197,0.0894938111305237,0.0496774315834045,1,0.815145015716553
"2020-06_south-west_stereo-BRUVs","28",-34.112916,114.852137,44.7,44.7076530456543,0.00264507881365716,0.0615939944982529,0.218783304095268,0.058922003954649,1,-0.427327871322632
"2020-06_south-west_stereo-BRUVs","29",-34.111084,114.855648,43,44.6790351867676,0.0099295349791646,3.02002573013306,0.165702775120735,-0.071789488196373,2,-1.02348756790161
"2020-06_south-west_stereo-BRUVs","30",-34.112094,114.85946,42.9,44.5010261535645,0.0289961658418179,0.290490031242371,0.265856087207794,-0.0339890457689762,1,-1.17089807987213
"2020-06_south-west_stereo-BRUVs","31",-34.116007,114.860738,44.4,44.3971252441406,0.0475980415940285,5.87649345397949,0.497400850057602,0.0568328946828842,16,-0.884761035442352
