"campaignid","sample","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2021-03_West-Coast_BOSS","148",NA,NA,-34.0518,114.925,20210308,NA,"West Coast","No-take",NA,46.6,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","2",NA,NA,-34.0604,114.924,20210308,NA,"West Coast","No-take",NA,47.3,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","99",NA,NA,-34.0555,114.916,20210308,NA,"West Coast","No-take",NA,47.2,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","127",NA,NA,-34.0545,114.91,20210308,NA,"West Coast","No-take",NA,44,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","43",NA,NA,-34.0521,114.909,20210308,NA,"West Coast","No-take",NA,45.5,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","110",NA,NA,-34.0505,114.907,20210308,NA,"West Coast","No-take",NA,45,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","139",NA,NA,-34.0616,114.898,20210308,NA,"West Coast","No-take",NA,44,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","133",NA,NA,-34.075,114.911,20210308,NA,"West Coast","No-take",NA,44,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","52",NA,NA,-34.0826,114.915,20210308,NA,"West Coast","No-take",NA,46.1,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","91",NA,NA,-34.0807,114.928,20210308,NA,"West Coast","No-take",NA,44.8,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","47",NA,NA,-34.0832,114.926,20210308,NA,"West Coast","No-take",NA,45.1,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","16",NA,NA,-34.0848,114.924,20210308,NA,"West Coast","No-take",NA,44.1,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","38",NA,NA,-34.0904,114.917,20210308,NA,"West Coast","No-take",NA,45.4,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","71",NA,NA,-34.0923,114.908,20210308,NA,"West Coast","No-take",NA,43.5,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","14",NA,NA,-34.0979,114.913,20210308,NA,"West Coast","No-take",NA,43.6,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","150",NA,NA,-34.1,114.917,20210308,NA,"West Coast","No-take",NA,44.6,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","92",NA,NA,-34.101,114.918,20210308,NA,"West Coast","No-take",NA,44.3,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","28",NA,NA,-34.0995,114.923,20210308,NA,"West Coast","No-take",NA,47,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","124",NA,NA,-34.1003,114.929,20210308,NA,"West Coast","No-take",NA,45,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","53",NA,NA,-34.1047,114.92,20210308,NA,"West Coast","No-take",NA,45.4,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","6",NA,NA,-34.1073,114.918,20210308,NA,"West Coast","No-take",NA,44.4,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","149",NA,NA,-34.1135,114.931,20210308,NA,"West Coast","No-take",NA,45.1,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","32",NA,NA,-34.1125,114.921,20210308,NA,"West Coast","No-take",NA,45.1,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","116",NA,NA,-34.1138,114.919,20210308,NA,"West Coast","No-take",NA,45.1,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","69",NA,NA,-34.1187,114.911,20210308,NA,"West Coast","No-take",NA,43.7,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","138",NA,NA,-34.119,114.912,20210308,NA,"West Coast","No-take",NA,41.8,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","76",NA,NA,-34.1217,114.916,20210308,NA,"West Coast","No-take",NA,43.3,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","144",NA,NA,-34.1221,114.92,20210308,NA,"West Coast","No-take",NA,43.2,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","5",NA,NA,-34.125,114.93,20210308,NA,"West Coast","No-take",NA,45.2,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","107",NA,NA,-34.1347,114.94,20210308,NA,"West Coast","No-take",NA,44.4,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","37",NA,NA,-34.1303,114.931,20210308,NA,"West Coast","No-take",NA,46.5,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","102",NA,NA,-34.1305,114.926,20210308,NA,"West Coast","No-take",NA,35.3,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","57",NA,NA,-34.1341,114.924,20210308,NA,"West Coast","No-take",NA,44.4,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","24",NA,NA,-34.1347,114.923,20210308,NA,"West Coast","No-take",NA,39.9,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","70",NA,NA,-34.1321,114.922,20210308,NA,"West Coast","No-take",NA,38.7,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","62",NA,NA,-34.1281,114.919,20210308,NA,"West Coast","No-take",NA,40.4,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","104",NA,NA,-34.1255,114.918,20210308,NA,"West Coast","No-take",NA,41.8,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","30",NA,NA,-34.1256,114.915,20210308,NA,"West Coast","No-take",NA,41.7,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","95",NA,NA,-34.1229,114.91,20210308,NA,"West Coast","No-take",NA,41.2,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","106",NA,NA,-34.1313,114.875,20210308,NA,"West Coast","No-take",NA,43.9,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","39",NA,NA,-34.1301,114.877,20210308,NA,"West Coast","No-take",NA,42.3,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","140",NA,NA,-34.1163,114.882,20210308,NA,"West Coast","No-take",NA,42.4,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","10",NA,NA,-34.1084,114.886,20210308,NA,"West Coast","No-take",NA,41.5,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","147",NA,NA,-34.0908,114.895,20210308,NA,"West Coast","No-take",NA,43.3,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","23",NA,NA,-34.0829,114.899,20210308,NA,"West Coast","No-take",NA,43.2,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","Old Point",NA,NA,-34.050194,114.869122,20210309,NA,"West Coast","No-take",NA,42.3,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","41",NA,NA,-34.0596,114.877,20210309,NA,"West Coast","No-take",NA,41.4,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","33",NA,NA,-34.0742,114.871,20210309,NA,"West Coast","No-take",NA,46.7,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","86",NA,NA,-34.0774,114.865,20210309,NA,"West Coast","No-take",NA,41.2,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","56",NA,NA,-34.0782,114.873,20210309,NA,"West Coast","No-take",NA,41.6,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","65",NA,NA,-34.0813,114.884,20210309,NA,"West Coast","No-take",NA,41.6,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","137",NA,NA,-34.0854,114.877,20210309,NA,"West Coast","No-take",NA,42.1,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","48",NA,NA,-34.0891,114.882,20210309,NA,"West Coast","No-take",NA,42.1,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","67",NA,NA,-34.0899,114.873,20210309,NA,"West Coast","No-take",NA,42.5,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","126",NA,NA,-34.0912,114.87,20210309,NA,"West Coast","No-take",NA,43.1,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","44",NA,NA,-34.0931,114.858,20210309,NA,"West Coast","No-take",NA,43.8,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","35",NA,NA,-34.0959,114.852,20210309,NA,"West Coast","No-take",NA,43.5,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","100",NA,NA,-34.0961,114.847,20210309,NA,"West Coast","No-take",NA,43.4,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","7",NA,NA,-34.0995,114.853,20210309,NA,"West Coast","No-take",NA,44.2,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","108",NA,NA,-34.1001,114.85,20210309,NA,"West Coast","No-take",NA,44.1,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","26",NA,NA,-34.1003,114.844,20210309,NA,"West Coast","No-take",NA,44.2,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","125",NA,NA,-34.104,114.847,20210309,NA,"West Coast","No-take",NA,45.8,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","98",NA,NA,-34.1139,114.856,20210309,NA,"West Coast","No-take",NA,43.5,"Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","1",NA,NA,-34.1318,114.853,20210309,NA,"West Coast","No-take",NA,44.1,"Claude","Yes","No",NA,NA,"RAW2","CON1"
