"campaignid","sample","method","distance.to.ramp"
"2020-10_south-west_stereo-BRUVs","FH60","BRUV","114.8213721"
"2020-10_south-west_stereo-BRUVs","FH61","BRUV","11.5815148426304"
"2020-10_south-west_stereo-BRUVs","FH62","BRUV","114.8813721"
"2020-10_south-west_stereo-BRUVs","FH63","BRUV","114.8163721"
"2020-10_south-west_stereo-BRUVs","FH64","BRUV","114.9388721"
"2020-10_south-west_stereo-BRUVs","FH65","BRUV","114.8188721"
"2020-10_south-west_stereo-BRUVs","FH66","BRUV","114.9363721"
"2020-10_south-west_stereo-BRUVs","FH67","BRUV","114.9238721"
"2020-10_south-west_stereo-BRUVs","FH68","BRUV","114.8288721"
"2020-10_south-west_stereo-BRUVs","FH69","BRUV","114.8038721"
"2020-10_south-west_stereo-BRUVs","FH7","BRUV","114.8788721"
"2020-10_south-west_stereo-BRUVs","FH70","BRUV","114.8463721"
"2020-10_south-west_stereo-BRUVs","FH71","BRUV","114.8188721"
"2020-10_south-west_stereo-BRUVs","FH72","BRUV","114.9288721"
"2020-10_south-west_stereo-BRUVs","FH74","BRUV","114.8063721"
"2020-10_south-west_stereo-BRUVs","FH77","BRUV","114.8763721"
"2020-10_south-west_stereo-BRUVs","FH78","BRUV","114.9163721"
"2020-10_south-west_stereo-BRUVs","FH79","BRUV","114.8088721"
"2020-10_south-west_stereo-BRUVs","FH8","BRUV","114.8013721"
"2020-10_south-west_stereo-BRUVs","FH82","BRUV","114.9238721"
"2020-10_south-west_stereo-BRUVs","FH83","BRUV","114.8463721"
"2020-10_south-west_stereo-BRUVs","FH84","BRUV","114.7988721"
"2020-10_south-west_stereo-BRUVs","FH85","BRUV","10.1096470400462"
"2020-10_south-west_stereo-BRUVs","FH87","BRUV","11.6154148411667"
"2020-10_south-west_stereo-BRUVs","FH89","BRUV","114.8013721"
"2020-10_south-west_stereo-BRUVs","FH9","BRUV","114.8513721"
"2020-10_south-west_stereo-BRUVs","FH92","BRUV","10.853306234661"
"2020-10_south-west_stereo-BRUVs","FH93","BRUV","114.8688721"
"2020-10_south-west_stereo-BRUVs","FH94","BRUV","114.9413721"
"2020-10_south-west_stereo-BRUVs","FH95","BRUV","114.8913721"
"2020-10_south-west_stereo-BRUVs","FH96","BRUV","114.8338721"
"2020-10_south-west_stereo-BRUVs","FH99","BRUV","114.8363721"
"2020-10_south-west_stereo-BRUVs","FHA","BRUV","114.937827"
"2020-10_south-west_stereo-BRUVs","FHB","BRUV","114.957127"
"2020-10_south-west_stereo-BRUVs","FHC","BRUV","114.965092"
"2020-10_south-west_stereo-BRUVs","FHCO1","BRUV","114.809825"
"2020-10_south-west_stereo-BRUVs","FHCO2","BRUV","114.813293"
"2020-10_south-west_stereo-BRUVs","FHCO3","BRUV","114.819555"
"2020-10_south-west_stereo-BRUVs","FHD","BRUV","114.958507"
"2020-10_south-west_stereo-BRUVs","FHE","BRUV","114.951172"
"2020-10_south-west_stereo-BRUVs","IO1","BRUV","114.7788721"
"2020-10_south-west_stereo-BRUVs","IO100","BRUV","114.9088721"
"2020-10_south-west_stereo-BRUVs","IO101","BRUV","114.8963721"
"2020-10_south-west_stereo-BRUVs","IO102","BRUV","114.9113721"
"2020-10_south-west_stereo-BRUVs","IO105","BRUV","114.6688721"
"2020-10_south-west_stereo-BRUVs","IO107","BRUV","114.6763721"
"2020-10_south-west_stereo-BRUVs","IO108","BRUV","114.6688721"
"2020-10_south-west_stereo-BRUVs","IO109","BRUV","114.6738721"
"2020-10_south-west_stereo-BRUVs","IO110","BRUV","114.7288721"
"2020-10_south-west_stereo-BRUVs","IO113","BRUV","114.7388721"
"2020-10_south-west_stereo-BRUVs","IO115","BRUV","114.7363721"
"2020-10_south-west_stereo-BRUVs","IO117","BRUV","114.7388721"
"2020-10_south-west_stereo-BRUVs","IO119","BRUV","114.9038721"
"2020-10_south-west_stereo-BRUVs","IO122","BRUV","114.8263721"
"2020-10_south-west_stereo-BRUVs","IO123","BRUV","114.8188721"
"2020-10_south-west_stereo-BRUVs","IO125","BRUV","114.8263721"
"2020-10_south-west_stereo-BRUVs","IO126","BRUV","114.8188721"
"2020-10_south-west_stereo-BRUVs","IO130","BRUV","114.8763721"
"2020-10_south-west_stereo-BRUVs","IO132","BRUV","114.8713721"
"2020-10_south-west_stereo-BRUVs","IO133","BRUV","114.8663721"
"2020-10_south-west_stereo-BRUVs","IO134","BRUV","114.8613721"
"2020-10_south-west_stereo-BRUVs","IO145","BRUV","114.8238721"
"2020-10_south-west_stereo-BRUVs","IO146","BRUV","114.8213721"
"2020-10_south-west_stereo-BRUVs","IO147","BRUV","114.8313721"
"2020-10_south-west_stereo-BRUVs","IO148","BRUV","114.5963721"
"2020-10_south-west_stereo-BRUVs","IO15","BRUV","114.8663721"
"2020-10_south-west_stereo-BRUVs","IO152","BRUV","114.8688721"
"2020-10_south-west_stereo-BRUVs","IO153","BRUV","114.8888721"
"2020-10_south-west_stereo-BRUVs","IO155","BRUV","114.8838721"
"2020-10_south-west_stereo-BRUVs","IO157","BRUV","114.8238721"
"2020-10_south-west_stereo-BRUVs","IO158","BRUV","114.8188721"
"2020-10_south-west_stereo-BRUVs","IO16","BRUV","114.8688721"
"2020-10_south-west_stereo-BRUVs","IO164","BRUV","114.9038721"
"2020-10_south-west_stereo-BRUVs","IO165","BRUV","114.8988721"
"2020-10_south-west_stereo-BRUVs","IO17","BRUV","114.8763721"
"2020-10_south-west_stereo-BRUVs","IO180","BRUV","114.7038721"
"2020-10_south-west_stereo-BRUVs","IO184","BRUV","114.9038721"
"2020-10_south-west_stereo-BRUVs","IO189","BRUV","114.6638721"
"2020-10_south-west_stereo-BRUVs","IO191","BRUV","114.6713721"
"2020-10_south-west_stereo-BRUVs","IO192","BRUV","114.6688721"
"2020-10_south-west_stereo-BRUVs","IO194","BRUV","114.6638721"
"2020-10_south-west_stereo-BRUVs","IO195","BRUV","114.8588721"
"2020-10_south-west_stereo-BRUVs","IO199","BRUV","114.8613721"
"2020-10_south-west_stereo-BRUVs","IO201","BRUV","114.8338721"
"2020-10_south-west_stereo-BRUVs","IO204","BRUV","114.7863721"
"2020-10_south-west_stereo-BRUVs","IO206","BRUV","114.7913721"
"2020-10_south-west_stereo-BRUVs","IO207","BRUV","114.7863721"
"2020-10_south-west_stereo-BRUVs","IO210","BRUV","114.8738721"
"2020-10_south-west_stereo-BRUVs","IO211","BRUV","114.9063721"
"2020-10_south-west_stereo-BRUVs","IOC06","BRUV","114.876372"
"2020-10_south-west_stereo-BRUVs","IO216","BRUV","114.9163721"
"2020-10_south-west_stereo-BRUVs","IO217","BRUV","114.9188721"
"2020-10_south-west_stereo-BRUVs","IO218","BRUV","114.9213721"
"2020-10_south-west_stereo-BRUVs","IO220","BRUV","114.8438721"
"2020-10_south-west_stereo-BRUVs","IO222","BRUV","114.8313721"
"2020-10_south-west_stereo-BRUVs","IO223","BRUV","114.8463721"
"2020-10_south-west_stereo-BRUVs","IO224","BRUV","114.8388721"
"2020-10_south-west_stereo-BRUVs","IO225","BRUV","114.8338721"
"2020-10_south-west_stereo-BRUVs","IO226","BRUV","114.8438721"
"2020-10_south-west_stereo-BRUVs","IO227","BRUV","114.7838721"
"2020-10_south-west_stereo-BRUVs","IO228","BRUV","114.7938721"
"2020-10_south-west_stereo-BRUVs","IO229","BRUV","114.7863721"
"2020-10_south-west_stereo-BRUVs","IO235","BRUV","114.9138721"
"2020-10_south-west_stereo-BRUVs","IO236","BRUV","114.9238721"
"2020-10_south-west_stereo-BRUVs","IO237","BRUV","114.9363721"
"2020-10_south-west_stereo-BRUVs","IO239","BRUV","114.9313721"
"2020-10_south-west_stereo-BRUVs","IO241","BRUV","114.7913721"
"2020-10_south-west_stereo-BRUVs","IO244","BRUV","114.9063721"
"2020-10_south-west_stereo-BRUVs","IO245","BRUV","114.9013721"
"2020-10_south-west_stereo-BRUVs","IO253","BRUV","114.7038721"
"2020-10_south-west_stereo-BRUVs","IO254","BRUV","114.6963721"
"2020-10_south-west_stereo-BRUVs","IO258","BRUV","114.9138721"
"2020-10_south-west_stereo-BRUVs","IO259","BRUV","114.9213721"
"2020-10_south-west_stereo-BRUVs","IO260","BRUV","114.9163721"
"2020-10_south-west_stereo-BRUVs","IO261","BRUV","114.9213721"
"2020-10_south-west_stereo-BRUVs","IO262","BRUV","114.8738721"
"2020-10_south-west_stereo-BRUVs","IO263","BRUV","114.8788721"
"2020-10_south-west_stereo-BRUVs","IO264","BRUV","114.8738721"
"2020-10_south-west_stereo-BRUVs","IO266","BRUV","114.7588721"
"2020-10_south-west_stereo-BRUVs","IO267","BRUV","114.7638721"
"2020-10_south-west_stereo-BRUVs","IO269","BRUV","114.8138721"
"2020-10_south-west_stereo-BRUVs","IO272","BRUV","114.8138721"
"2020-10_south-west_stereo-BRUVs","IO273","BRUV","114.8213721"
"2020-10_south-west_stereo-BRUVs","IO275","BRUV","114.6463721"
"2020-10_south-west_stereo-BRUVs","IO276","BRUV","114.6363721"
"2020-10_south-west_stereo-BRUVs","IO277","BRUV","114.6463721"
"2020-10_south-west_stereo-BRUVs","IO278","BRUV","114.6388721"
"2020-10_south-west_stereo-BRUVs","IO280","BRUV","114.6738721"
"2020-10_south-west_stereo-BRUVs","IO290","BRUV","114.7188721"
"2020-10_south-west_stereo-BRUVs","IO291","BRUV","114.7488721"
"2020-10_south-west_stereo-BRUVs","IO293","BRUV","114.7588721"
"2020-10_south-west_stereo-BRUVs","IO294","BRUV","114.7538721"
"2020-10_south-west_stereo-BRUVs","IO295","BRUV","114.7538721"
"2020-10_south-west_stereo-BRUVs","IO297","BRUV","114.7488721"
"2020-10_south-west_stereo-BRUVs","IO298","BRUV","114.6713721"
"2020-10_south-west_stereo-BRUVs","IO299","BRUV","114.6763721"
"2020-10_south-west_stereo-BRUVs","IO3","BRUV","114.7838721"
"2020-10_south-west_stereo-BRUVs","IO300","BRUV","114.6688721"
"2020-10_south-west_stereo-BRUVs","IO302","BRUV","114.7238721"
"2020-10_south-west_stereo-BRUVs","IO306","BRUV","114.7338721"
"2020-10_south-west_stereo-BRUVs","IO307","BRUV","114.7263721"
"2020-10_south-west_stereo-BRUVs","IO308","BRUV","114.7288721"
"2020-10_south-west_stereo-BRUVs","IO310","BRUV","114.7738721"
"2020-10_south-west_stereo-BRUVs","IO311","BRUV","114.7688721"
"2020-10_south-west_stereo-BRUVs","IO312","BRUV","114.7788721"
"2020-10_south-west_stereo-BRUVs","IO313","BRUV","114.7563721"
"2020-10_south-west_stereo-BRUVs","IO319","BRUV","114.7313721"
"2020-10_south-west_stereo-BRUVs","IO323","BRUV","114.6001"
"2020-10_south-west_stereo-BRUVs","IO324","BRUV","114.639778"
"2020-10_south-west_stereo-BRUVs","IO325","BRUV","114.743378"
"2020-10_south-west_stereo-BRUVs","IO326","BRUV","114.6892833"
"2020-10_south-west_stereo-BRUVs","IO327","BRUV","114.7623833"
"2020-10_south-west_stereo-BRUVs","IO328","BRUV","114.8213667"
"2020-10_south-west_stereo-BRUVs","IO329","BRUV","114.7266333"
"2020-10_south-west_stereo-BRUVs","IO330","BRUV","114.7545"
"2020-10_south-west_stereo-BRUVs","IO331","BRUV","114.75005"
"2020-10_south-west_stereo-BRUVs","IO332","BRUV","114.7344833"
"2020-10_south-west_stereo-BRUVs","IO333","BRUV","114.7251333"
"2020-10_south-west_stereo-BRUVs","IO334","BRUV","114.7753667"
"2020-10_south-west_stereo-BRUVs","IO335","BRUV","114.7939833"
"2020-10_south-west_stereo-BRUVs","IO336","BRUV","114.8663667"
"2020-10_south-west_stereo-BRUVs","IO337","BRUV","114.8202333"
"2020-10_south-west_stereo-BRUVs","IO338","BRUV","114.92245"
"2020-10_south-west_stereo-BRUVs","IO339","BRUV","114.8785"
"2020-10_south-west_stereo-BRUVs","IO34","BRUV","114.8713721"
"2020-10_south-west_stereo-BRUVs","IO343","BRUV","114.6407167"
"2020-10_south-west_stereo-BRUVs","IO344","BRUV","114.6744"
"2020-10_south-west_stereo-BRUVs","IO349","BRUV","114.5963721"
"2020-10_south-west_stereo-BRUVs","IO350","BRUV","114.6038721"
"2020-10_south-west_stereo-BRUVs","IO351","BRUV","114.5963721"
"2020-10_south-west_stereo-BRUVs","IO352","BRUV","114.5988721"
"2020-10_south-west_stereo-BRUVs","IO353","BRUV","114.8390667"
"2020-10_south-west_stereo-BRUVs","IO354","BRUV","114.84"
"2020-10_south-west_stereo-BRUVs","IO355","BRUV","114.9111"
"2020-10_south-west_stereo-BRUVs","IO356","BRUV","114.9184667"
"2020-10_south-west_stereo-BRUVs","IO357","BRUV","114.928"
"2020-10_south-west_stereo-BRUVs","IO36","BRUV","114.7188721"
"2020-10_south-west_stereo-BRUVs","IO361","BRUV","114.7413721"
"2020-10_south-west_stereo-BRUVs","IO363","BRUV","114.7513721"
"2020-10_south-west_stereo-BRUVs","IO364","BRUV","114.6888721"
"2020-10_south-west_stereo-BRUVs","IO365","BRUV","114.7538721"
"2020-10_south-west_stereo-BRUVs","IO369","BRUV","114.5913721"
