"","mean.relief","broad.macroalgae","broad.reef","distance.to.ramp","detrended","tpi","roughness","depth","status"
"total.abundance",0.994,0,0,0.125,0.007,0.198,0.126,0,0.4
"species.richness",0,1,0,1,0,0,0,0,1
