"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","sd.relief","detrended","broad.macroalgae","broad.reef","distance.to.ramp","tpi","roughness","depth","status","cumsum.wi"
"greater than legal size","mean.relief+sd.relief+tpi",1343.32846643726,1524.25265873593,0.3822,NA,57.86,0,0,0,0.985,0.751,1,1,0,0,0,0,1,0,0,0,0.985
"smaller than legal size","broad.reef+roughness",720.968645347838,849.432913072627,0.20315,NA,36.39,0,0,0,0.544,0.836,0,0,0,0,1,0,0,1,0,0,0.544
