"scientific","australian.common.name","fishing.type","iucn.ranking"
"Carcharhinus plumbeus","Sandbar shark","C","Vulnerable"
"Hyperlophus vittatus","Sandy sprat",NA,"Least Concern"
"Dinolestes lewini","Longfin Pike","C/R",NA
"Plectorhinchus flavomaculatus","Goldspotted sweetlips","B",NA
"Heterodontus portusjacksoni","Port Jackson shark","B","Least Concern"
"Halichoeres brownfieldi","Brownfield's wrasse",NA,"Least Concern"
"Heteroscarus acroptilus","Rainbow cale",NA,"Least Concern"
"Labroides dimidiatus","Common cleanerfish",NA,"Least Concern"
"Pictilabrus laticlavius","Senator wrasse",NA,"Least Concern"
"Suezichthys cyanolaemus","Bluethroat rainbow wrasse",NA,"Least Concern"
"Acanthaluteres brownii","Spinytail leatherjacket","B/C/R",NA
"Brachaluteres jacksonianus","Southern pygmy leatherjacket",NA,"Least Concern"
"Eubalichthys bucephalus","Black Reef leatherjacket",NA,NA
"Eubalichthys mosaicus","Mosaic leatherjacket","B/C/R",NA
"Meuschenia australis","Brownstriped leatherjacket","B/C/R",NA
"Scobinichthys granulatus","Rough leatherjacket",NA,NA
"Pseudophycis barbata","Bearded rock cod","C/R",NA
"Gymnothorax prasinus","Green moray",NA,NA
"Gymnothorax woodwardi","Woodward's moray",NA,NA
"Myliobatis tenuicaudatus","Southern eagle ray","B","Least Concern"
"Pentapodus vitta","Western butterfish","B",NA
"Siphonognathus caninis","Sharpnose weed whiting","B","Least Concern"
"Parascyllium ferrugineum","Rusty carpetshark","B","Least Concern"
"Parazanclistius hutchinsi","Short boarfish","C/R",NA
"Parapercis haackei","Wavy grubfish",NA,NA
"Paraplesiops meleagris","Southern blue devil",NA,NA
"Parma occidentalis","Western scalyfin",NA,NA
"Pristiophorus cirratus","Common sawshark","C/R","Least Concern"
"Aptychotrema vincentiana","Western shovelnose ray",NA,"Least Concern"
"Trygonorrhina dumerilii","Southern fiddler ray","B",NA
"Sarda orientalis","Oriental bonito","R","Least Concern"
"Scorpaena sumptuosa","Western red scorpionfish",NA,NA
"Asymbolus occiduus","Western spotted catshark","B","Least Concern"
"Hypoplectrodes nigroruber","Banded seaperch","R",NA
"Hyporthodus octofasciatus","Eightbar grouper","C/R","Data Deficient"
