"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth.y","roughness","tpi","detrended","cumsum.wi"
"broad.reef.tpi","tpi",1977.2004838427,1991.97333752661,0.00527,NA,3.03,0,144.604,138.266,0,0,0,0,1,0,1
"broad.reef.null","null",1977.54343611313,1982.41866820625,0,NA,1,0,144.947,128.711,0,0,0,0,0,0,1
"broad.consolidated.depth.y+detrended","depth.y+detrended",384.422345838712,399.039073430237,0.13886,NA,3,0,0,0,0.536,0.948,1,0,0,1,0.536
"broad.consolidated.depth.y+detrended+tpi","depth.y+detrended+tpi",385.707717270342,405.184768492748,0.13867,NA,4,0,1.285,6.146,0.282,0.044,1,0,1,1,0.818
"broad.consolidated.depth.y+detrended+roughness","depth.y+detrended+roughness",386.876315778963,415.661088462902,0.1561,NA,5.92,0,2.454,16.622,0.157,0,1,1,0,1,0.975
"broad.consolidated.detrended+roughness","detrended+roughness",393.301669736378,430.241586400093,0.12178,NA,7.6,0,8.879,31.203,0.006,0,0,1,0,1,0.981
"broad.consolidated.depth.y","depth.y",393.632415253322,416.59875669611,0.12991,NA,4.72,0,9.21,17.56,0.005,0,1,0,0,0,0.986
"broad.consolidated.depth.y+roughness","depth.y+roughness",393.871227913139,416.464739173773,0.11174,NA,4.64,0,9.449,17.426,0.005,0,1,1,0,0,0.991
"broad.consolidated.detrended+roughness+tpi","detrended+roughness+tpi",395.321988611342,437.091197747083,0.12172,NA,8.6,0,10.9,38.052,0.002,0,0,1,1,1,0.993
"broad.consolidated.detrended","detrended",395.499078822277,419.042760636507,0.058,NA,4.84,0,11.077,20.004,0.002,0,0,0,0,1,0.995
"broad.consolidated.depth.y+tpi","depth.y+tpi",395.779494557534,423.638937852127,0.13057,NA,5.73,0,11.357,24.6,0.002,0,1,0,1,0,0.997
"broad.consolidated.depth.y+roughness+tpi","depth.y+roughness+tpi",396.766899057448,431.362146181617,0.12278,NA,7.11,0,12.345,32.323,0.001,0,1,1,1,0,0.998
"broad.consolidated.detrended+tpi","detrended+tpi",397.544578203324,425.940188806756,0.05801,NA,5.84,0,13.122,26.901,0.001,0,0,0,1,1,0.999
"broad.consolidated.null","null",403.843906963619,408.719139056739,0,NA,1,0,19.422,9.68,0,0.007,0,0,0,0,0.999
"broad.consolidated.roughness","roughness",404.242880765253,421.872863796599,0.02617,NA,3.62,0,19.821,22.834,0,0,0,1,0,0,0.999
"broad.consolidated.tpi","tpi",405.538036886292,415.293036706162,0.00078,NA,2,0,21.116,16.254,0,0,0,0,1,0,0.999
"broad.consolidated.roughness+tpi","roughness+tpi",406.191336552567,428.661542130351,0.02614,NA,4.62,0,21.769,29.622,0,0,0,1,1,0,0.999
"broad.seagrasses.depth.y","depth.y",156.365307903959,169.448769359313,0.06079,NA,2.69,0,0,7.646,0.306,0.02,1,0,0,0,0.306
"broad.seagrasses.null","null",156.927939614369,161.803171707489,0,NA,1,0,0.563,0,0.231,0.935,0,0,0,0,0.537
"broad.seagrasses.depth.y+tpi","depth.y+tpi",158.76456874197,177.698066562969,0.06483,NA,3.89,0,2.399,15.895,0.092,0,1,0,1,0,0.629
"broad.seagrasses.tpi","tpi",159.031081748505,168.780215815006,0.00104,NA,2,0,2.666,6.977,0.081,0.029,0,0,1,0,0.71
"broad.seagrasses.depth.y+roughness","depth.y+roughness",159.194762274486,177.953059493832,0.06681,NA,3.85,0,2.829,16.15,0.074,0,1,1,0,0,0.784
"broad.seagrasses.roughness","roughness",159.524314764203,170.121876616224,0.02001,NA,2.17,0,3.159,8.319,0.063,0.015,0,1,0,0,0.847
"broad.seagrasses.detrended","detrended",160.952317480437,178.869310913322,0.02188,NA,3.68,0,4.587,17.066,0.031,0,0,0,0,1,0.878
"broad.seagrasses.depth.y+roughness+tpi","depth.y+roughness+tpi",161.344843088409,185.328699114154,0.06963,NA,4.93,0,4.98,23.526,0.025,0,1,1,1,0,0.903
"broad.seagrasses.roughness+tpi","roughness+tpi",161.623930301169,177.088877992583,0.02015,NA,3.18,0,5.259,15.286,0.022,0,0,1,1,0,0.925
"broad.seagrasses.detrended+roughness","detrended+roughness",161.879924891073,177.410110228514,0.02157,NA,3.19,0,5.515,15.607,0.019,0,0,1,0,1,0.944
"broad.seagrasses.depth.y+detrended+roughness","depth.y+detrended+roughness",162.018661892482,186.725702684559,0.07222,NA,5.08,0,5.653,24.923,0.018,0,1,1,0,1,0.962
"broad.seagrasses.depth.y+detrended","depth.y+detrended",162.488730287922,190.586903936138,0.08457,NA,5.78,0,6.123,28.784,0.014,0,1,0,0,1,0.976
"broad.seagrasses.detrended+tpi","detrended+tpi",163.024792465632,185.777887614762,0.02164,NA,4.67,0,6.659,23.975,0.011,0,0,0,1,1,0.987
"broad.seagrasses.detrended+roughness+tpi","detrended+roughness+tpi",163.993727742001,184.387320942062,0.02176,NA,4.19,0,7.628,22.584,0.007,0,0,1,1,1,0.994
"broad.seagrasses.depth.y+detrended+tpi","depth.y+detrended+tpi",164.370649529271,196.72571140112,0.08707,NA,6.65,0,8.005,34.923,0.006,0,1,0,1,1,1
