"","Date","Sample","Time.bottom","Time.end","Depth","Raw.hdd.number","Con.hdd.number","Longitude","Latitude","Samplex","MBH.Longitude","MBH.Latitude","Comment","FishNClipz","Forwards.habitat.north.exported","Forwards.habitat.north.annotated","Forwards.habitat.east.exported","Forwards.habitat.east.annotated","Forwards.habitat.south.exported","Forwards.habitat.south.annotated","Forwards.habitat.west.exported","Forwards.habitat.west.annotated","Downwards.habitat.exported","Downwards.habitat.completed","Habitat.notes","Site","Location","Status","Observer","Successful.count","Successful.length","Video.notes","Maxn.analyst","Maxn.complete.yyyymmdd","Maxn.checker","Length.analyst","Length.complete.date.yyyymmdd","Notes","latitude.mbh","longitude.mbh"
"1","20201020","FH92","08:34:48","08:37:38",44.1,"BU3","",114.8714,-33.8437,"FH92",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.84368897,114.8713721
"2","20201020","FH61","09:06:40","09:09:40",NA,"BU3","",114.8639,-33.8412,"FH61",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.84118897,114.8638721
"3","20201020","FH27","09:32:24","09:35:24",42.8,"BU3","",114.8714,-33.8362,"FH27",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.83618897,114.8713721
"4","20201020","FH17","09:46:43","09:49:43",NA,"BU3","",114.8764,-33.8337,"FH17",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.83368897,114.8763721
"5","20201020","FH56","10:00:37","10:03:37",41.9,"BU3","",114.8664,-33.8312,"FH56",NA,NA,"558 - file corrupt","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.83118897,114.8663721
"6","20201020","FH96","10:40:01","10:43:01",NA,"BU3","",114.8339,-33.8187,"FH96",NA,NA,"417 took photos","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.81868897,114.8338721
"7","20201020","FH60","10:54:30","10:57:00",44.4,"BU3","",114.8214,-33.8162,"FH60",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","check hard coral",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.81618897,114.8213721
"8","20201020","FH26","11:05:07","11:08:00",43.9,"BU3","",114.8289,-33.8112,"FH26",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.81118897,114.8288721
"9","20201020","FH110","11:17:02","11:20:00",44.9,"BU3","",114.8214,-33.8087,"FH110",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.80868897,114.8213721
"10","20201020","FH48","11:30:39","11:33:00",45,"BU3","",114.8139,-33.7962,"FH48",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.79618897,114.8138721
"11","20201020","FH21","11:41:29","11:44:00",46.3,"BU3","",114.8089,-33.7937,"FH21",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.79368897,114.8088721
"12","20201020","FH18","11:55:54","11:59:00",45.1,"BU3","",114.8214,-33.7912,"FH18",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.79118897,114.8213721
"13","20201020","FH106","12:06:58","12:10:00",46.2,"BU3","",114.8164,-33.7887,"FH106",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.78868897,114.8163721
"14","20201020","FH57","12:18:13","12:21:00",44.2,"BU3","",114.8114,-33.7887,"FH57",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.78868897,114.8113721
"15","20201020","FH34","12:51:20","12:54:00",44.6,"BU3","",114.8839,-33.7862,"FH34",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.78618897,114.8838721
"16","20201020","FH7","13:04:33","13:08:00",45.2,"BU3","",114.8789,-33.7837,"FH7",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.78368897,114.8788721
"17","20201020","FH20","13:17:56","13:21:00",42.4,"BU3","",114.8727,-33.7827,"FH20",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.78618897,114.8738721
"18","20201020","FH93","13:32:44","13:36:00",44.3,"BU3","",114.8689,-33.7762,"FH93",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.77618897,114.8688721
"19","20201020","FH44","13:46:18","13:50:00",44.5,"BU3","",114.8639,-33.7712,"FH44",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.77118897,114.8638721
"20","20201020","FH14","13:59:42","14:04:00",44.9,"BU3","",114.8714,-33.7662,"FH14",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.76618897,114.8713721
"21","20201020","FH95","14:17:10","14:21:00",NA,"BU3","",114.8914,-33.7587,"FH95",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.75868897,114.8913721
"22","20201020","FH62","14:32:04","14:36:00",45.2,"BU3","",114.8814,-33.7562,"FH62",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.75618897,114.8813721
"23","20201020","FH30","14:44:05","14:48:00",NA,"BU3","",114.8889,-33.7512,"FH30",NA,NA,"","No","Yes","","Yes","","Yes","","Yes","","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.75118897,114.8888721
"24","20201030","261","07:00:38","07:03:38",46.5,"BU4","CON1 - Bottom only",114.9214,-33.9762,"261",-33.9762,114.9214,"","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.97618897,114.9213721
"25","20201030","338","07:16:01","07:19:01",46,"BU4","CON1 - Bottom only",114.9225,-33.9723,"338",-33.9723,114.9225,"","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","",NA,NA,NA,"","",NA,"","",NA,"",NA,NA,"",-33.97231667,114.92245
