X,Y,class,BRUVid,BRUV,BRUV.date,BOSS,BOSS.date,ObjectId,GlobalID,x2,y2
114.5988721,-34.08868897,MBH,51,,,,,52,d12a8782-2d38-4758-95d1-0d5ec5c10a1b,114.5988721,-34.08868897
114.5913721,-34.09368897,MBH,52,,,,,53,9bc21214-fdd7-468e-83ff-f49b04c618fe,114.5913721,-34.09368897
114.6013721,-34.08368897,MBH,53,,,,,54,ffa08836-303e-4976-88e0-22fffb071e0a,114.6013721,-34.08368897
114.5938721,-34.08868897,MBH,54,,,,,55,bc45968c-e07a-4dac-8b19-1431a1b31fe3,114.5938721,-34.08868897
114.5988721,-34.09368897,MBH,55,,,,,56,0cac1670-9afd-460a-a183-1412e735316f,114.5988721,-34.09368897
114.4888721,-34.11868897,MBH,56,,,,,57,00dce266-3d6a-4eda-9dfd-ee1e8875abf4,114.4888721,-34.11868897
114.4863721,-34.12618897,MBH,57,,,,,58,18b3774c-4518-4a81-84c8-7549961cbefa,114.4863721,-34.12618897
114.7738721,-34.13618897,MBH,58,Y,22/10/2020,Y,4/11/2020,59,877a3702-aa09-4b07-b6c1-732c188c7181,114.7738721,-34.13618897
114.7663721,-34.14118897,MBH,59,Y,22/10/2020,Y,4/11/2020,60,b6b508ba-7533-4d6b-88b4-15b28706e04a,114.7663721,-34.14118897
114.7688721,-34.14618897,MBH,60,,,,,61,95780f9a-610f-40a8-a889-9647ce00ede0,114.7688721,-34.14618897
114.7638721,-34.14618897,MBH,61,,,,,62,4216de8d-4afa-49fe-89bc-7fb6f8138075,114.7638721,-34.14618897
114.7663721,-34.13368897,MBH,62,F,22/10/2020,Y,4/11/2020,63,72148c65-2cbe-44ef-8f67-1f3151181602,114.7663721,-34.13368897
114.4738721,-34.01118897,MBH,63,,,Y,7/11/2020,64,e99f7a66-d6cb-4346-9aa7-51fd3097b618,114.4738721,-34.01118897
114.8963721,-34.01368897,MBH,64,Y,19/10/2020,Y,30/10/2020,65,6524bbbc-02ab-4a09-b558-c939590160f3,114.8963721,-34.01368897
114.8888721,-34.01118897,MBH,65,Y,19/10/2020,Y,30/10/2020,66,4fed3c01-e918-4bfa-b478-fa3e61bd9f9d,114.8888721,-34.01118897
114.8813721,-34.01618897,MBH,66,Y,19/10/2020,Y,31/10/2020,67,f596be30-83cd-4730-861d-a0bb864b278b,114.8813721,-34.01618897
114.8963721,-34.02118897,MBH,67,,,,,68,a2bac71e-3958-41ee-b53b-1b2bb046f12b,114.8963721,-34.02118897
114.8913721,-34.01868897,MBH,68,,,,,69,62ba3e10-45c1-46c3-bc2e-b90bc1d7796f,114.8913721,-34.01868897
114.8838721,-34.02368897,MBH,69,,,,,70,92172aed-20ba-4ed9-b856-8c21b17bb176,114.8838721,-34.02368897
114.4888721,-34.00368897,MBH,70,,,,,71,56af4ae8-408a-46a7-8121-917cc59151ab,114.4888721,-34.00368897
114.6988721,-34.00368897,MBH,71,,,Y,11/11/2020,72,7703cbe0-06a6-4f42-ac21-75995df9f68f,114.6988721,-34.00368897
114.8463721,-34.03618897,MBH,72,Y,19/10/2020,Y,31/10/2020,73,7f0778cc-bf6c-4fb1-91a1-a14cdca2c7d8,114.8463721,-34.03618897
114.8588721,-34.02868897,MBH,73,F,19/10/2020,Y,31/10/2020,74,5acd2169-8803-42b1-8b2d-1b18b74b8100,114.8588721,-34.02868897
114.8513721,-34.02868897,MBH,74,Y,19/10/2020,Y,31/10/2020,75,6f25ce82-af94-46b5-b683-5edbf4ba06cb,114.8513721,-34.02868897
114.8538721,-34.03368897,MBH,75,Y,19/10/2020,Y,31/10/2020,76,fb65a828-dc4d-4fc3-8d25-4413a8103e31,114.8538721,-34.03368897
