"","mean.relief","log.sd.relief","broad.macroalgae","aspect","log.tpi","log.roughness","sqrt.slope","depth","status"
"Heterodontidae Heterodontus portusjacksoni",0.02,0.522,0.002,0.052,0.04,0.823,0.168,0.976,0.228
"Labridae Coris auricularis",0,0,0,0,1,0,1,1,0
"Monacanthidae Nelusetta ayraud",0,0.173,0,0.203,0.074,0.112,0.124,0.999,0.54
"Sparidae Chrysophrys auratus",0.064,0.069,0.328,0.16,0.293,0.929,0.064,0.035,0.618
"total.abundance",1,0,0,1,1,0,0,0,0
"species.richness",0.99,0.149,0,0.161,0.097,0.34,0.451,0.006,0.23
