,mean.relief,detrended,broad.macroalgae,broad.reef,distance.to.ramp,tpi,roughness,depth,status
greater than legal size,1,0,0,0,0,-0.819,1,0,0.179
smaller than legal size,0.805,0.005,0,0.121,0.013,-0.107,0.953,-0.056,0.224
