"","mean.relief","sd.relief","broad.macroalgae","broad.reef","distance.to.ramp","detrended","tpi","roughness","depth","status"
"total.abundance",0.77,0.346,0,0.196,0,0,0.453,0.16,0,0.275
"species.richness",0.997,0.977,0,0.002,0,0,0.245,0.046,0,0.3
