"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","detrended","broad.macroalgae","broad.reef","distance.to.ramp","tpi","roughness","depth","status","cumsum.wi"
"greater than legal size","mean.relief+roughness+tpi",506.093744840529,627.089249487433,0.44201,NA,43.34,0,0,0.587,0.819,0.42,1,0,0,0,0,1,1,0,0,0.819
"smaller than legal size","depth+roughness+tpi",921.866338077211,1028.31866530609,0.28672,NA,35.27,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
