,mean.relief,detrended,broad.macroalgae,broad.reef,distance.to.ramp,tpi,roughness,depth,status
greater than legal size,1,0,0,0,0,0.819,1,0,0.179
smaller than legal size,0,0,0,0,0,1,1,-1,0
