"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","sd.relief","broad.macroalgae","broad.reef","distance.to.ramp","detrended","tpi","roughness","depth","cumsum.wi"
"total.abundance","mean.relief+sd.relief",4102.38545749043,4542.33361541189,0.51341,NA,131.85,0,0,0,0.783,0.413,1,1,0,0,0,0,0,0,0,0.783
"species.richness.mean.relief+sd.relief","mean.relief+sd.relief",2228.52889712139,2420.20129731496,0.70133,NA,43.2,0,0,9.012,0.49,0.009,1,1,0,0,0,0,0,0,0,0.49
"species.richness.mean.relief+sd.relief+tpi","mean.relief+sd.relief+tpi",2229.99057959079,2434.54984482528,0.70546,NA,45.99,0,1.462,23.361,0.236,0,1,1,0,0,0,0,1,0,0,0.726
