,mean.relief,broad.macroalgae,broad.reef,distance.to.ramp,detrended,tpi,roughness,depth,status
total.abundance,0.822,0,0,0,0.35,0.13,-0.072,0,0.732
species.richness,0,0,1,0,0.822,0.03,0.037,0,1
