"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","sd.relief","detrended","broad.macroalgae","broad.reef","distance.to.ramp","tpi","roughness","depth","status","cumsum.wi"
"greater than legal size.broad.macroalgae+detrended+sd.relief","broad.macroalgae+detrended+sd.relief",928.748552706669,953.293142574571,0.02377,NA,4.88,0,0.963,14.053,0.023,0,0,1,1,1,0,0,0,0,0,0,0.347
"greater than legal size.broad.reef+detrended+status","broad.reef+detrended+status",928.756124460574,955.172844086623,0.03469,NA,5.18,0,0.971,15.933,0.023,0,0,0,1,0,1,0,0,0,0,1,0.37
"greater than legal size.broad.reef","broad.reef",928.819214640921,945.445662477129,0.01336,NA,2.46,0,1.034,6.205,0.022,0.025,0,0,0,0,1,0,0,0,0,0,0.392
"greater than legal size.broad.macroalgae+detrended+status","broad.macroalgae+detrended+status",928.998674276437,953.518615569868,0.02287,NA,4.85,0,1.213,14.278,0.02,0,0,0,1,1,0,0,0,0,0,1,0.412
"greater than legal size.detrended+tpi","detrended+tpi",929.011690497896,953.084965004035,0.02746,NA,4.46,0,1.226,13.845,0.02,0.001,0,0,1,0,0,0,1,0,0,0,0.432
"greater than legal size.tpi","tpi",929.01316236429,946.409123955824,0.01648,NA,2.73,0,1.228,7.169,0.02,0.015,0,0,0,0,0,0,1,0,0,0,0.452
"greater than legal size.status","status",929.077542700774,943.226898958919,0.00325,NA,2,0,1.292,3.987,0.019,0.075,0,0,0,0,0,0,0,0,0,1,0.471
"greater than legal size.broad.reef+sd.relief","broad.reef+sd.relief",929.083108312735,946.73370389144,0.01249,NA,3,0,1.298,7.493,0.019,0.013,0,1,0,0,1,0,0,0,0,0,0.49
"greater than legal size.sd.relief","sd.relief",929.252323546479,943.402922894129,0.00239,NA,2,0,1.467,4.163,0.018,0.068,0,1,0,0,0,0,0,0,0,0,0.508
"greater than legal size.detrended+sd.relief+tpi","detrended+sd.relief+tpi",929.261401918637,956.804976268849,0.03222,NA,5.49,0,1.476,17.565,0.018,0,0,1,1,0,0,0,1,0,0,0,0.526
"greater than legal size.mean.relief","mean.relief",929.300598177928,946.602795971835,0.02769,NA,2.69,0,1.515,7.363,0.017,0.014,1,0,0,0,0,0,0,0,0,0,0.543
"greater than legal size.broad.macroalgae","broad.macroalgae",929.45298776408,943.604588253569,0.00125,NA,2,0,1.667,4.364,0.016,0.062,0,0,0,1,0,0,0,0,0,0,0.559
"greater than legal size.sd.relief+tpi","sd.relief+tpi",929.472242871577,950.332947779271,0.01901,NA,3.72,0,1.687,11.093,0.016,0.002,0,1,0,0,0,0,1,0,0,0,0.575
"greater than legal size.sd.relief+status","sd.relief+status",929.60157683813,947.250082734674,0.00551,NA,3,0,1.816,8.01,0.015,0.01,0,1,0,0,0,0,0,0,0,1,0.59
"greater than legal size.mean.relief+sd.relief+status","mean.relief+sd.relief+status",929.630544653146,952.260761663624,0.03451,NA,4.25,0,1.845,13.021,0.015,0.001,1,1,0,0,0,0,0,0,0,1,0.605
"greater than legal size.distance.to.ramp","distance.to.ramp",929.655295911772,943.805370065046,4e-05,NA,2,0,1.87,4.565,0.014,0.056,0,0,0,0,0,1,0,0,0,0,0.619
"greater than legal size.broad.macroalgae+status","broad.macroalgae+status",929.668242023905,947.316645026666,0.00479,NA,3,0,1.883,8.076,0.014,0.01,0,0,0,1,0,0,0,0,0,1,0.633
"greater than legal size.mean.relief+sd.relief","mean.relief+sd.relief",929.697410285981,949.673398581913,0.02666,NA,3.42,0,1.912,10.433,0.014,0.003,1,1,0,0,0,0,0,0,0,0,0.647
"greater than legal size.detrended+distance.to.ramp+tpi","detrended+distance.to.ramp+tpi",929.723200463883,957.247377590068,0.02845,NA,5.47,0,1.938,18.007,0.014,0,0,0,1,0,0,1,1,0,0,0,0.661
"greater than legal size.broad.macroalgae+detrended+tpi","broad.macroalgae+detrended+tpi",929.72859679365,957.329404315967,0.02986,NA,5.5,0,1.943,18.089,0.014,0,0,0,1,1,0,0,1,0,0,0,0.675
"greater than legal size.depth","depth",929.746594672279,947.366812932368,0.02725,NA,2.91,0,1.961,8.127,0.014,0.009,0,0,0,0,0,0,0,0,1,0,0.689
"greater than legal size.status+tpi","status+tpi",929.748369968199,950.533316803783,0.01752,NA,3.69,0,1.963,11.293,0.014,0.002,0,0,0,0,0,0,1,0,0,1,0.703
"smaller than legal size.broad.reef+roughness+tpi","broad.reef+roughness+tpi",736.876333476105,764.817090853058,0.06617,NA,5.76,0,0,4.03,0.319,0.062,0,0,0,0,1,0,1,1,0,0,0.319
"smaller than legal size.broad.reef+roughness+sd.relief","broad.reef+roughness+sd.relief",737.159529369433,761.713695429385,0.06015,NA,4.89,0,0.283,0.926,0.276,0.292,0,1,0,0,1,0,0,1,0,0,0.595
"smaller than legal size.mean.relief+roughness+tpi","mean.relief+roughness+tpi",737.935546158294,769.113768629879,0.06797,NA,6.52,0,1.059,8.326,0.188,0.007,1,0,0,0,0,0,1,1,0,0,0.783
