"","mean.relief","sd.relief","broad.macroalgae","broad.reef","distance.to.ramp","detrended","tpi","roughness","depth"
"total.abundance",0.872,0.848,0,0.112,0,0,0.068,0.076,0
"species.richness",0.996,0.9,0,0,0,0,0.333,0.273,0
