Easting,Northing,inclusion_,ID,Site,Lat,Lon,ObjectId,GlobalID,x,y
302040,6221148,0.013662212,899693,SWC-NPZ-BOSS-1,-34.1318,114.853,1,6caf344e-06aa-47b8-a544-f66a4a1343e9,114.853,-34.1318
308416,6229204,0.898707779,11712439,SWC-NPZ-BOSS-2,-34.0604,114.924,2,f8761c6a-86ec-4fac-b15c-6729a2ae562f,114.924,-34.0604
301708,6227008,0.898707779,8763730,SWC-NPZ-BOSS-3,-34.0789,114.851,3,ad119dc3-7788-4122-b050-ca9fcfdf7832,114.851,-34.0789
295668,6226072,0.087630009,7506108,SWC-NPZ-BOSS-4,-34.0862,114.785,4,de4684ca-1060-42ba-a92f-79d00086ec12,114.785,-34.0862
309084,6222044,0.898707779,2103886,SWC-NPZ-BOSS-5,-34.125,114.93,5,402a473b-28da-4851-ab29-0cb6e1c9a240,114.93,-34.125
307996,6223996,0.898707779,4723198,SWC-NPZ-BOSS-6,-34.1073,114.918,6,94b6baa8-5754-4af4-b3bc-9ea854c78347,114.918,-34.1073
301956,6224728,0.898707779,5704032,SWC-NPZ-BOSS-7,-34.0995,114.853,7,fe38562f-3ea8-4cf4-a2b1-f2e85a7598c9,114.853,-34.0995
301624,6229612,0.087630009,12258277,SWC-NPZ-BOSS-8,-34.0554,114.851,8,65b8d561-2177-4b2e-bdd2-a1a65ba0c56d,114.851,-34.0554
298268,6222652,0.898707779,2917118,SWC-NPZ-BOSS-9,-34.1175,114.813,9,1575df7a-5738-4ae3-8ca6-12c1d5e4467f,114.813,-34.1175
304976,6223808,0.087630009,4470147,SWC-NPZ-BOSS-10,-34.1084,114.886,10,b1e0d375-d5e2-4c78-a1fa-8e41c181d09d,114.886,-34.1084
294748,6222708,0.898707779,2991390,SWC-NPZ-BOSS-11,-34.1163,114.775,11,e2d1dd50-bd8c-409c-87fd-6f92836de12b,114.775,-34.1163
295416,6225636,0.898707779,6920933,SWC-NPZ-BOSS-12,-34.0901,114.783,12,d5410aa4-15b9-434e-9dda-6b4c1454e45e,114.783,-34.0901
298100,6230032,0.013662212,12821036,SWC-NPZ-BOSS-13,-34.051,114.813,13,b4493db5-86b9-4780-8ad2-64caa10233ba,114.813,-34.051
307492,6225028,0.087630009,6108016,SWC-NPZ-BOSS-14,-34.0979,114.913,14,38732bed-7cbe-475d-843f-991b792ae064,114.913,-34.0979
294076,6228324,0.898707779,10527894,SWC-NPZ-BOSS-15,-34.0656,114.769,15,c2eee2de-e401-4f66-a0fb-f35590ed734b,114.769,-34.0656
308500,6226492,0.898707779,8072956,SWC-NPZ-BOSS-16,-34.0848,114.924,16,cbadd4f1-ff92-4611-9279-1a7809093eef,114.924,-34.0848
293068,6227348,0.898707779,9217850,SWC-NPZ-BOSS-17,-34.0742,114.757,17,ec78bd12-024b-49cd-91a1-a6c6e8f7e362,114.757,-34.0742
295880,6223684,0.898707779,4301465,SWC-NPZ-BOSS-18,-34.1078,114.787,18,2f805a6d-a951-4972-be8b-b4888be3dbec,114.787,-34.1078
297556,6226776,0.087630009,8451348,SWC-NPZ-BOSS-19,-34.0802,114.806,19,385fd440-56b8-419f-81f3-e6086fcd9d2e,114.806,-34.0802
295544,6224336,0.898707779,5176365,SWC-NPZ-BOSS-20,-34.1018,114.784,20,4ca03380-fb33-4631-ab4d-ce43038a3a7e,114.784,-34.1018
296884,6221404,0.087630009,1241956,SWC-NPZ-BOSS-21,-34.1285,114.797,21,21ca71d7-c7f1-48ea-b8c9-60420035ee84,114.797,-34.1285
292020,6224092,0.087630009,4848036,SWC-NPZ-BOSS-22,-34.1033,114.745,22,13182b7d-9f23-440a-b585-7e301c08e0cb,114.745,-34.1033
306108,6226656,0.013662212,8292446,SWC-NPZ-BOSS-23,-34.0829,114.899,23,ea838348-adc0-47d4-8574-0802c17b7fc7,114.899,-34.0829
308456,6220956,0.898707779,643633,SWC-NPZ-BOSS-24,-34.1347,114.923,24,e2d67356-c8e6-42f1-a685-aba75462efde,114.923,-34.1347
293696,6228648,0.087630009,10962607,SWC-NPZ-BOSS-25,-34.0626,114.765,25,a03b3fc1-8147-434c-8b89-d58c971b4ac6,114.765,-34.0626
301076,6224620,0.087630009,5558876,SWC-NPZ-BOSS-26,-34.1003,114.844,26,9cd065c2-0b2c-42ee-945f-e92eb042b83d,114.844,-34.1003
295960,6229868,0.087630009,12600413,SWC-NPZ-BOSS-27,-34.0521,114.789,27,d8c33ec1-0ca8-441a-addf-fb9028dabd9c,114.789,-34.0521
308372,6224864,0.898707779,5888148,SWC-NPZ-BOSS-28,-34.0995,114.923,28,dd0d49e6-77e9-422e-93a0-3153a99de579,114.923,-34.0995
295628,6221588,0.898707779,1488570,SWC-NPZ-BOSS-29,-34.1266,114.784,29,f064d81a-0f5f-4a6a-adfe-617d375c2d27,114.784,-34.1266
307704,6221952,0.898707779,1980077,SWC-NPZ-BOSS-30,-34.1256,114.915,30,6e0d1d65-3cb1-43e1-ad35-d3f9126bdefd,114.915,-34.1256
297472,6228912,0.898707779,11317839,SWC-NPZ-BOSS-31,-34.061,114.806,31,d419c0e9-561f-47c2-a78c-a161c70d8bd8,114.806,-34.061
308204,6223416,0.898707779,3944890,SWC-NPZ-BOSS-32,-34.1125,114.921,32,1797a399-899d-4481-82b8-c14cb665d905,114.921,-34.1125
303508,6227568,0.087630009,9515700,SWC-NPZ-BOSS-33,-34.0742,114.871,33,a797e9d9-8b70-4562-81ba-01465d6395a4,114.871,-34.0742
296800,6226468,0.898707779,8037823,SWC-NPZ-BOSS-34,-34.0829,114.798,34,256b2f17-d3ae-4bb0-a4ea-02188cca5073,114.798,-34.0829
301832,6225128,0.087630009,6240801,SWC-NPZ-BOSS-35,-34.0959,114.852,35,d82446ac-8981-4440-80d9-d712e86425f5,114.852,-34.0959
299148,6221096,0.087630009,829186,SWC-NPZ-BOSS-36,-34.1317,114.822,36,0cfa447b-9555-4d71-9a44-b34934481f79,114.822,-34.1317
309212,6221464,0.898707779,1325558,SWC-NPZ-BOSS-37,-34.1303,114.931,37,e95b8196-5ce9-4b65-b5fd-0187c42f75f5,114.931,-34.1303
307872,6225860,0.898707779,7224655,SWC-NPZ-BOSS-38,-34.0904,114.917,38,c66fdc33-fedd-419b-a353-a89cd8b23988,114.917,-34.0904
304196,6221384,0.898707779,1216944,SWC-NPZ-BOSS-39,-34.1301,114.877,39,0f768641-00e4-461c-a477-c73e56bf56db,114.877,-34.1301
292792,6226876,0.013662212,8584357,SWC-NPZ-BOSS-40,-34.0784,114.754,40,0d07be7f-28a1-4f7b-9dd5-468182f0fd88,114.754,-34.0784
304028,6229196,0.087630009,11700606,SWC-NPZ-BOSS-41,-34.0596,114.877,41,c55454a1-fecb-40f3-b315-ccbba89f83ed,114.877,-34.0596
295308,6223864,0.087630009,4542882,SWC-NPZ-BOSS-42,-34.106,114.781,42,69dde82b-11b3-4146-97c2-05a7d6ab6e7e,114.781,-34.106
307048,6230092,0.087630009,12903793,SWC-NPZ-BOSS-43,-34.0521,114.909,43,3bfdcb54-1aad-43d7-9c6d-34284f90d605,114.909,-34.0521
302352,6225452,0.898707779,6675739,SWC-NPZ-BOSS-44,-34.0931,114.858,44,2dac9ff1-d78f-4fa5-8609-5ab413999043,114.858,-34.0931
294300,6226552,0.898707779,8149926,SWC-NPZ-BOSS-45,-34.0816,114.771,45,cb2242fd-de12-49f1-92bb-c2d74245de6b,114.771,-34.0816
299920,6222524,0.898707779,2745755,SWC-NPZ-BOSS-46,-34.119,114.831,46,dac9e139-3798-49bd-9ae1-14be90ffb86a,114.831,-34.119
308640,6226672,0.898707779,8314551,SWC-NPZ-BOSS-47,-34.0832,114.926,47,6b8f0665-f18b-4175-976e-e6c0457ef3e8,114.926,-34.0832
304616,6225940,0.087630009,7331201,SWC-NPZ-BOSS-48,-34.0891,114.882,48,a5560b3e-4867-451f-a78a-1ecc8146df97,114.882,-34.0891
293544,6224164,0.898707779,4945041,SWC-NPZ-BOSS-49,-34.103,114.762,49,c37168c5-79e7-4647-ba52-1e6d8ffab4b3,114.762,-34.103
300924,6223064,0.013662212,3470686,SWC-NPZ-BOSS-50,-34.1143,114.842,50,846c8be5-4bbd-4625-b963-a83eb5e4f985,114.842,-34.1143
