"campaignid","sample","filename","periodtime","family","genus","species","maxn","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2021-03_West-Coast_BOSS","103","20210310_0737-1601_TOP_0045.mp4","1.35079","Labridae","Suezichthys","bifurcatus",3,NA,NA,"-34.0866","114.774","20210310",NA,"West Coast","No-take",NA,"69.1","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","103","20210310_0737-1601_TOP_0045.mp4","2.39573","Monacanthidae","Meuschenia","scaber",3,NA,NA,"-34.0866","114.774","20210310",NA,"West Coast","No-take",NA,"69.1","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","103","20210310_0737-1601_TOP_0045.mp4","1.46452","Serranidae","Caesioperca","spp",2,NA,NA,"-34.0866","114.774","20210310",NA,"West Coast","No-take",NA,"69.1","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","103","20210310_0737-1601_TOP_0045.mp4","1.66194","SUS","SUS","SUS",1,NA,NA,"-34.0866","114.774","20210310",NA,"West Coast","No-take",NA,"69.1","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","104","20210308_0735-1537_TOP_0143.mp4","2.05622","Labridae","Coris","auricularis",1,NA,NA,"-34.1255","114.918","20210308",NA,"West Coast","No-take",NA,"41.8","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","104","20210308_0735-1537_TOP_0142.mp4","0.61033","Labridae","Ophthalmolepis","lineolatus",5,NA,NA,"-34.1255","114.918","20210308",NA,"West Coast","No-take",NA,"41.8","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","104","20210308_0735-1537_TOP_0142.mp4","0.49661","Labridae","Pseudolabrus","biserialis",9,NA,NA,"-34.1255","114.918","20210308",NA,"West Coast","No-take",NA,"41.8","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","104","20210308_0735-1537_TOP_0142.mp4","0.91397","Pomacentridae","Chromis","klunzingeri",17,NA,NA,"-34.1255","114.918","20210308",NA,"West Coast","No-take",NA,"41.8","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","104","20210308_0735-1537_TOP_0143.mp4","1.73145","Scorpididae","Scorpis","georgiana",1,NA,NA,"-34.1255","114.918","20210308",NA,"West Coast","No-take",NA,"41.8","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","104","20210308_0735-1537_TOP_0143.mp4","1.90996","Serranidae","Caesioperca","spp",8,NA,NA,"-34.1255","114.918","20210308",NA,"West Coast","No-take",NA,"41.8","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","105","20210311_0735-1315_TOP_0005.mp4","1.50650","Labridae","Coris","auricularis",2,NA,NA,"-34.0534","114.76","20210311",NA,"West Coast","No-take",NA,"79.3","Claude","Yes","No",NA,NA,"RAW3","CON1"
