"campaignid","sample","family","genus","species","maxn","id"
"2020-10_south-west_BOSS","1","Labridae","Coris","auricularis",1,"2020-10_south-west_BOSS 1"
"2020-10_south-west_BOSS","1","Labridae","Pseudolabrus","biserialis",2,"2020-10_south-west_BOSS 1"
"2020-10_south-west_BOSS","110","Callanthiidae","Callanthias","australis",3,"2020-10_south-west_BOSS 110"
"2020-10_south-west_BOSS","110","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 110"
"2020-10_south-west_BOSS","110","Oplegnathidae","Oplegnathus","woodwardi",3,"2020-10_south-west_BOSS 110"
"2020-10_south-west_BOSS","113","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 113"
"2020-10_south-west_BOSS","115","Carangidae","Pseudocaranx","spp",6,"2020-10_south-west_BOSS 115"
"2020-10_south-west_BOSS","115","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 115"
"2020-10_south-west_BOSS","117","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 117"
"2020-10_south-west_BOSS","117","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 117"
"2020-10_south-west_BOSS","135","Serranidae","Caesioperca","spp",1,"2020-10_south-west_BOSS 135"
"2020-10_south-west_BOSS","135","SUS","SUS","sus",7,"2020-10_south-west_BOSS 135"
"2020-10_south-west_BOSS","136","Callanthiidae","Callanthias","australis",6,"2020-10_south-west_BOSS 136"
"2020-10_south-west_BOSS","136","Serranidae","Caesioperca","spp",1,"2020-10_south-west_BOSS 136"
"2020-10_south-west_BOSS","189","Callanthiidae","Callanthias","australis",1,"2020-10_south-west_BOSS 189"
"2020-10_south-west_BOSS","191","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 191"
"2020-10_south-west_BOSS","192","Labridae","Suezichthys","bifurcatus",1,"2020-10_south-west_BOSS 192"
"2020-10_south-west_BOSS","192","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 192"
"2020-10_south-west_BOSS","194","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 194"
"2020-10_south-west_BOSS","204","Labridae","Coris","auricularis",11,"2020-10_south-west_BOSS 204"
"2020-10_south-west_BOSS","204","Labridae","Suezichthys","bifurcatus",1,"2020-10_south-west_BOSS 204"
"2020-10_south-west_BOSS","204","Serranidae","Caesioperca","spp",2,"2020-10_south-west_BOSS 204"
"2020-10_south-west_BOSS","204","SUS","SUS","sus",2,"2020-10_south-west_BOSS 204"
"2020-10_south-west_BOSS","206","Labridae","Coris","auricularis",14,"2020-10_south-west_BOSS 206"
"2020-10_south-west_BOSS","206","Labridae","Ophthalmolepis","lineolatus",3,"2020-10_south-west_BOSS 206"
"2020-10_south-west_BOSS","206","Labridae","Suezichthys","bifurcatus",1,"2020-10_south-west_BOSS 206"
"2020-10_south-west_BOSS","206","Mullidae","Parupeneus","chrysopleuron",1,"2020-10_south-west_BOSS 206"
"2020-10_south-west_BOSS","207","Labridae","Austrolabrus","maculatus",1,"2020-10_south-west_BOSS 207"
"2020-10_south-west_BOSS","207","Labridae","Coris","auricularis",12,"2020-10_south-west_BOSS 207"
