"sample","date","forwards.image.name","forwards.points.no.annotations","backwards.image.name","backwards.points.no.annotations"
"01",20200602,"01.jpg",20,"01.JPG",20
"02",20200602,"02.jpg",20,"02.JPG",20
"03",20200602,"03.jpg",20,NA,NA
"04",20200602,"04.jpg",20,"04.JPG",20
"05",20200602,"05.jpg",20,"05.JPG",20
"06",20200602,"06.jpg",20,"06.JPG",20
"07",20200602,"07.jpg",20,"07.JPG",20
"08",20200602,"08.jpg",20,"08.JPG",20
"09",20200602,"09.jpg",20,"09.JPG",20
"10",20200602,"10.jpg",20,"10.JPG",20
"11",20200602,"11.jpg",20,"11.JPG",20
"12",20200602,"12.jpg",20,"12.JPG",NA
"13",20200602,"13.jpg",20,"13.JPG",20
"14",20200602,"14.jpg",20,"14.JPG",20
"15",20200602,"15.jpg",20,"15.JPG",20
"16",20200602,"16.jpg",20,"16.JPG",20
"17",20200602,"17.jpg",20,"17.JPG",20
"18",20200602,"18.jpg",20,"18.JPG",20
"19",20200602,"19.jpg",20,"19.JPG",20
"20",20200603,"20.jpg",20,"20.JPG",20
"21",20200603,"21.jpg",20,"21.JPG",20
"22",20200603,"22.jpg",20,"22.JPG",20
"23",20200603,"23.jpg",20,"23.JPG",20
"24",20200603,"24.jpg",20,"24.JPG",20
"25",20200603,"25.jpg",20,"25.JPG",20
"26",20200603,"26.jpg",21,"26.JPG",20
"27",20200603,"27.jpg",20,"27.JPG",20
"28",20200603,"28.jpg",20,"28.JPG",20
"29",20200603,"29.jpg",20,"29.JPG",20
"30",20200603,"30.jpg",20,"30.JPG",20
"31",20200603,"31.jpg",20,"31.JPG",20
"32",20200603,"32.jpg",20,"32.JPG",20
"33",20200603,"33.jpg",20,"33.JPG",20
"34",20200603,"34.jpg",NA,"34.JPG",NA
"35",20200603,"35.jpg",NA,"35.JPG",NA
"36",20200603,"36.jpg",20,"36.JPG",NA
"37",20200603,"37.jpg",20,"37.JPG",20
"38",20200603,"38.jpg",20,"38.JPG",20
"39",20200603,"39.jpg",20,"39.JPG",20
"40",20200603,"40.jpg",20,"40.JPG",20
"08 - failed",20200602,NA,NA,NA,NA
"11 - failed",20200602,NA,NA,NA,NA
