"campaignid","sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference","raw.hdd.number","con.hdd.number"
"2020-10_south-west_stereo-BRUVs","IOCP11-2","Berycidae","Centroberyx","sp1",55,83,28,50.9090909090909,"RAW5","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO331","Berycidae","Centroberyx","sp1",55,56,1,1.81818181818182,"RAW4",NA
