"campaignid","sample","family","genus","species","family_correct","genus_correct","species_correct"
"2020-10_south-west_BOSS","36","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-10_south-west_BOSS","365","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2020-10_south-west_BOSS","J18","Monocentrididae","Cleidopus","gloriamaris","Monocentridae","Cleidopus","gloriamaris"
"2020-10_south-west_BOSS","J6","Pempherididae","Parapriacanthus","elongatus","Pempheridae","Parapriacanthus","elongatus"
"2021-03_West-Coast_BOSS","110","Pempherididae","Parapriacanthus","elongatus","Pempheridae","Parapriacanthus","elongatus"
"2021-03_West-Coast_BOSS","138","Pempherididae","Parapriacanthus","elongatus","Pempheridae","Parapriacanthus","elongatus"
"2021-03_West-Coast_BOSS","16","Pempherididae","Parapriacanthus","elongatus","Pempheridae","Parapriacanthus","elongatus"
"2021-03_West-Coast_BOSS","19","Pempherididae","Parapriacanthus","elongatus","Pempheridae","Parapriacanthus","elongatus"
"2021-03_West-Coast_BOSS","56","Pempherididae","Parapriacanthus","elongatus","Pempheridae","Parapriacanthus","elongatus"
"2021-03_West-Coast_BOSS","80","Pempherididae","Parapriacanthus","elongatus","Pempheridae","Parapriacanthus","elongatus"
"2021-03_West-Coast_BOSS","97","Pempherididae","Parapriacanthus","elongatus","Pempheridae","Parapriacanthus","elongatus"
