"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Up","fov.Open","broad.Consolidated","broad.Hydroids","broad.Macroalgae","broad.Seagrasses","broad.Sponges","broad.Stony corals","broad.Unconsolidated"
"J1",34.128599,114.930865,20201119,07:29:32,"MBH","June Sites","Y",0,100,0,0,3.01507537688442,0,0,0,96.9849246231156
"J2",34.125316,114.928838,20201119,07:37:40,"MBH","June Sites","Y",0,100,0,0,38.3116883116883,42.8571428571429,7.14285714285714,0,11.6883116883117
"J3",34.126906,114.925945,20201119,07:44:54,"MBH","June Sites","Y",0,100,6.25,0.568181818181818,27.8409090909091,35.7954545454545,28.9772727272727,0,0.568181818181818
"J4",34.122634,114.920337,20201119,07:52:40,"MBH","June Sites","Y",0,100,6.99300699300699,0,80.4195804195804,0,6.99300699300699,0,5.59440559440559
"J5",34.131497,114.915753,20201119,08:19:57,"MBH","June Sites","Y",0,100,1.21212121212121,0,92.1212121212121,1.81818181818182,0.606060606060606,0,4.24242424242424
"J6",34.132842,114.912405,20201119,08:11:29,"MBH","June Sites","Y",0,100,0,0,88.6524822695035,0,11.3475177304965,0,0
"J7",34.134771,114.910241,20201119,08:27:10,"MBH","June Sites","Y",0,100,26.4150943396226,0,24.5283018867925,29.559748427673,6.28930817610063,0,13.2075471698113
"J8",34.129352,114.911755,20201119,08:03:44,"MBH","June Sites","Y",0,100,0,0,99,0,1,0,0
"J9",34.119541,114.916105,20201119,07:13:23,"MBH","June Sites","Y",2.59067357512953,97.4093264248705,0.540540540540541,0,65.4054054054054,5.40540540540541,9.18918918918919,0,19.4594594594595
"J10",34.117294,114.918685,20201119,07:20:50,"MBH","June Sites","Y",0,100,2.08333333333333,0,75.5208333333333,18.2291666666667,3.125,0.520833333333333,0.520833333333333
"J11",34.117752,114.92306,20201119,06:58:19,"MBH","June Sites","Y",0,100,2.64900662251656,0,29.8013245033113,59.6026490066225,7.94701986754967,0,0
"J12",34.132262,114.928545,20201119,07:05:56,"MBH","June Sites","Y",0,100,3.72340425531915,0,69.6808510638298,0,25,0,1.59574468085106
"J13",34.128506,114.930547,20201119,09:11:19,"MBH","June Sites","Y",0,100,2.03045685279188,0,43.6548223350254,13.1979695431472,5.0761421319797,0,36.0406091370558
"J14",34.128381,114.925457,20201119,08:48:29,"MBH","June Sites","Y",0,100,4.84848484848485,0,84.2424242424242,0.606060606060606,4.24242424242424,0,6.06060606060606
"J15",34.125012,114.91032,20201119,09:03:36,"MBH","June Sites","Y",1.03626943005181,98.9637305699482,5.26315789473684,1.05263157894737,73.1578947368421,1.57894736842105,17.3684210526316,0,1.57894736842105
"J16",34.126181,114.906548,20201119,08:56:44,"MBH","June Sites","Y",11.9565217391304,88.0434782608696,7.2289156626506,0,76.5060240963855,2.40963855421687,0.602409638554217,0,13.2530120481928
"J17",34.132142,114.92083,20201119,08:41:02,"MBH","June Sites","Y",0,100,3.82513661202186,0,66.6666666666667,25.6830601092896,1.63934426229508,0,2.18579234972678
