"sample","latitude","longitude","date","time","site","location","successful.count","fov.Limited","fov.Open","broad.Consolidated","broad.Macroalgae","broad.Seagrasses","broad.Sponges","broad.Stony corals","broad.Unconsolidated"
"J18",34.128679,114.924078,20201119,09:18:36,"MBH","June Sites","Y",0,100,4,80,0,4,0,12
"J19",34.122542,114.927818,20201119,11:11:13,"MBH","June Sites","Y",0,100,28,56,12,0,0,4
"J20",34.130219,114.820233,20201119,12:23:27,"MBH","June Sites","Y",0,100,62.5,25,8.33333333333333,0,0,4.16666666666667
"J21",34.128151,114.817448,20201119,11:18:42,"MBH","June Sites","Y",0,100,45,45,0,0,0,10
"J22",34.126271,114.819552,20201119,11:26:32,"MBH","June Sites","Y",0,100,33.3333333333333,41.6666666666667,0,0,0,25
"J24",34.118739,114.826402,20201119,09:28:14,"MBH","June Sites","Y",0,100,4,20,0,4,0,72
"J25",34.116829,114.828432,20201119,09:43:40,"MBH","June Sites","Y",0,100,8,48,28,0,0,16
"J26",34.120881,114.828907,20201119,09:35:38,"MBH","June Sites","Y",0,100,20,52,0,0,0,28
"J27",34.121824,114.832898,20201119,10:31:14,"MBH","June Sites","Y",100,0,9.52380952380952,76.1904761904762,0,0,0,14.2857142857143
"J28",34.112916,114.852137,20201119,10:09:12,"MBH","June Sites","Y",4,96,8,56,8,0,0,28
"J29",34.111084,114.855648,20201119,10:16:30,"MBH","June Sites","Y",4,96,20,28,12,0,0,40
"J30",34.112094,114.85946,20201119,10:01:46,"MBH","June Sites","Y",8,92,24,56,0,0,0,20
"J31",34.116007,114.860738,20201119,10:24:15,"MBH","June Sites","Y",100,0,18.1818181818182,68.1818181818182,0,9.09090909090909,0,4.54545454545455
"J32",34.130076,114.86109,20201119,09:54:43,"MBH","June Sites","Y",0,100,4,24,0,4,64,4
"J33",34.133067,114.8627,20201119,11:57:39,"MBH","June Sites","Y",0,100,0,12,0,0,0,88
"J34",34.131334,114.866053,20201119,11:34:05,"MBH","June Sites","Y",0,100,80,8,0,4,0,8
"J35",34.134801,114.869348,20201119,11:49:38,"MBH","June Sites","Y",0,100,36,52,0,0,0,12
"J36",34.130484,114.878263,20201119,11:41:09,"MBH","June Sites","Y",24,76,48,20,0,4,0,28
"J37",34.126354,114.878937,20201119,12:12:46,"MBH","June Sites","Y",0,100,32,40,0,0,0,28
"J38",34.127912,114.883938,20201119,12:04:47,"MBH","June Sites","Y",0,100,4,0,0,0,0,96
