"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Up","fov.Open","broad.Consolidated","broad.Macroalgae","broad.Seagrasses","broad.Sponges","broad.Stony corals","broad.Unconsolidated"
"J1",34.128599,114.930865,20201119,07:29:32,"MBH","June Sites","Y",0,100,0,2,0,0,0,98
"J2",34.125316,114.928838,20201119,07:37:40,"MBH","June Sites","Y",0,100,0,40,41.25,7.5,0,11.25
"J3",34.126906,114.925945,20201119,07:44:54,"MBH","June Sites","Y",0,100,9.19540229885057,25.2873563218391,34.4827586206897,29.8850574712644,0,1.14942528735632
"J4",34.122634,114.920337,20201119,07:52:40,"MBH","June Sites","Y",0,100,4.28571428571429,80,0,10,0,5.71428571428571
"J5",34.131497,114.915753,20201119,08:19:57,"MBH","June Sites","Y",0,100,1.25,95,1.25,0,0,2.5
"J6",34.132842,114.912405,20201119,08:11:29,"MBH","June Sites","Y",0,100,0,89.1891891891892,0,10.8108108108108,0,0
"J7",34.134771,114.910241,20201119,08:27:10,"MBH","June Sites","Y",0,100,24.6913580246914,22.2222222222222,30.8641975308642,7.40740740740741,0,14.8148148148148
"J8",34.129352,114.911755,20201119,08:03:44,"MBH","June Sites","Y",0,100,0,98,0,2,0,0
"J9",34.119541,114.916105,20201119,07:13:23,"MBH","June Sites","Y",2.08333333333333,97.9166666666667,0,69.1489361702128,5.31914893617021,9.57446808510638,0,15.9574468085106
"J10",34.117294,114.918685,20201119,07:20:50,"MBH","June Sites","Y",0,100,2.02020202020202,73.7373737373737,20.2020202020202,4.04040404040404,0,0
"J11",34.117752,114.92306,20201119,06:58:19,"MBH","June Sites","Y",0,100,1.26582278481013,31.6455696202532,58.2278481012658,8.86075949367089,0,0
"J12",34.132262,114.928545,20201119,07:05:56,"MBH","June Sites","Y",0,100,5.20833333333333,65.625,0,28.125,0,1.04166666666667
"J13",34.128506,114.930547,20201119,09:11:19,"MBH","June Sites","Y",0,100,2.04081632653061,42.8571428571429,15.3061224489796,4.08163265306122,0,35.7142857142857
"J14",34.128381,114.925457,20201119,08:48:29,"MBH","June Sites","Y",0,100,4.93827160493827,87.6543209876543,0,2.46913580246914,0,4.93827160493827
"J15",34.125012,114.91032,20201119,09:03:36,"MBH","June Sites","Y",1.04166666666667,98.9583333333333,5.31914893617021,77.6595744680851,0,15.9574468085106,0,1.06382978723404
"J16",34.126181,114.906548,20201119,08:56:44,"MBH","June Sites","Y",13.9784946236559,86.0215053763441,8.43373493975904,72.289156626506,2.40963855421687,0,0,16.8674698795181
"J17",34.132142,114.92083,20201119,08:41:02,"MBH","June Sites","Y",0,100,4.3010752688172,70.9677419354839,21.505376344086,1.0752688172043,0,2.1505376344086
"J18",34.128679,114.924078,20201119,09:18:36,"MBH","June Sites","Y",10.989010989011,89.010989010989,1.38888888888889,88.8888888888889,4.16666666666667,4.16666666666667,0,1.38888888888889
"J19",34.122542,114.927818,20201119,11:11:13,"MBH","June Sites","Y",6.18556701030928,93.8144329896907,15.1898734177215,72.1518987341772,5.06329113924051,3.79746835443038,0,3.79746835443038
"J20",34.130219,114.820233,20201119,12:23:27,"MBH","June Sites","Y",0,100,41.25,37.5,3.75,11.25,0,6.25
"J21",34.128151,114.817448,20201119,11:18:42,"MBH","June Sites","Y",0,100,14.6067415730337,62.9213483146067,6.74157303370786,1.12359550561798,0,14.6067415730337
"J22",34.126271,114.819552,20201119,11:26:32,"MBH","June Sites","Y",18.0851063829787,81.9148936170213,22.972972972973,71.6216216216216,0,2.7027027027027,0,2.7027027027027
"J24",34.118739,114.826402,20201119,09:28:14,"MBH","June Sites","Y",0,100,9.85915492957746,50.7042253521127,1.40845070422535,1.40845070422535,0,36.6197183098592
"J25",34.116829,114.828432,20201119,09:43:40,"MBH","June Sites","Y",0,100,3.52941176470588,65.8823529411765,20,1.17647058823529,0,9.41176470588235
"J26",34.120881,114.828907,20201119,09:35:38,"MBH","June Sites","Y",0,100,3.8961038961039,79.2207792207792,9.09090909090909,6.49350649350649,0,1.2987012987013
"J27",34.121824,114.832898,20201119,10:31:14,"MBH","June Sites","Y",0,100,0,92.1052631578947,3.94736842105263,2.63157894736842,0,1.31578947368421
"J28",34.112916,114.852137,20201119,10:09:12,"MBH","June Sites","Y",0,100,1.20481927710843,77.1084337349398,10.8433734939759,6.02409638554217,0,4.81927710843374
"J29",34.111084,114.855648,20201119,10:16:30,"MBH","June Sites","Y",0,100,2.1978021978022,52.7472527472528,18.6813186813187,2.1978021978022,0,24.1758241758242
"J30",34.112094,114.85946,20201119,10:01:46,"MBH","June Sites","Y",0,100,7.36842105263158,58.9473684210526,26.3157894736842,4.21052631578947,2.10526315789474,1.05263157894737
"J31",34.116007,114.860738,20201119,10:24:15,"MBH","June Sites","Y",0,100,8.33333333333333,57.1428571428571,21.4285714285714,7.14285714285714,0,5.95238095238095
"J32",34.130076,114.86109,20201119,09:54:43,"MBH","June Sites","Y",0,100,4.59770114942529,66.6666666666667,20.6896551724138,0,0,8.04597701149425
"J33",34.133067,114.8627,20201119,11:57:39,"MBH","June Sites","Y",11.7647058823529,88.2352941176471,19.7183098591549,69.0140845070423,4.22535211267606,2.8169014084507,0,4.22535211267606
"J34",34.131334,114.866053,20201119,11:34:05,"MBH","June Sites","Y",5.37634408602151,94.6236559139785,11.1111111111111,75.5555555555556,4.44444444444444,3.33333333333333,0,5.55555555555556
