"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Up","fov.Open","broad.Consolidated","broad.Macroalgae","broad.Seagrasses","broad.Sponges","broad.Unconsolidated"
"J1",34.128599,114.930865,20201119,07:29:32,"MBH","June Sites","Y",0,100,0,4,0,0,96
"J2",34.125316,114.928838,20201119,07:37:40,"MBH","June Sites","Y",0,100,0,47.0588235294118,35.2941176470588,11.7647058823529,5.88235294117647
"J3",34.126906,114.925945,20201119,07:44:54,"MBH","June Sites","Y",0,100,4.76190476190476,38.0952380952381,28.5714285714286,28.5714285714286,0
"J4",34.122634,114.920337,20201119,07:52:40,"MBH","June Sites","Y",0,100,9.52380952380952,80.9523809523809,0,4.76190476190476,4.76190476190476
"J5",34.131497,114.915753,20201119,08:19:57,"MBH","June Sites","Y",0,100,0,91.304347826087,8.69565217391304,0,0
"J6",34.132842,114.912405,20201119,08:11:29,"MBH","June Sites","Y",0,100,0,84.2105263157895,0,15.7894736842105,0
"J7",34.134771,114.910241,20201119,08:27:10,"MBH","June Sites","Y",0,100,15,25,35,0,25
"J8",34.129352,114.911755,20201119,08:03:44,"MBH","June Sites","Y",0,100,0,96,0,4,0
"J9",34.119541,114.916105,20201119,07:13:23,"MBH","June Sites","Y",4.34782608695652,95.6521739130435,0,54.5454545454545,9.09090909090909,13.6363636363636,22.7272727272727
"J10",34.117294,114.918685,20201119,07:20:50,"MBH","June Sites","Y",0,100,0,84,12,4,0
"J11",34.117752,114.92306,20201119,06:58:19,"MBH","June Sites","Y",0,100,0,11.7647058823529,76.4705882352941,11.7647058823529,0
"J12",34.132262,114.928545,20201119,07:05:56,"MBH","June Sites","Y",0,100,8.69565217391304,60.8695652173913,0,30.4347826086957,0
"J13",34.128506,114.930547,20201119,09:11:19,"MBH","June Sites","Y",0,100,4,32,24,4,36
"J14",34.128381,114.925457,20201119,08:48:29,"MBH","June Sites","Y",0,100,15,75,0,5,5
"J15",34.125012,114.91032,20201119,09:03:36,"MBH","June Sites","Y",4.34782608695652,95.6521739130435,4.54545454545455,68.1818181818182,0,27.2727272727273,0
"J16",34.126181,114.906548,20201119,08:56:44,"MBH","June Sites","Y",4.16666666666667,95.8333333333333,13.0434782608696,82.6086956521739,0,0,4.34782608695652
"J17",34.132142,114.92083,20201119,08:41:02,"MBH","June Sites","Y",0,100,0,70.8333333333333,29.1666666666667,0,0
"J18",34.128679,114.924078,20201119,09:18:36,"MBH","June Sites","Y",22.7272727272727,77.2727272727273,0,100,0,0,0
"J19",34.122542,114.927818,20201119,11:11:13,"MBH","June Sites","Y",4.34782608695652,95.6521739130435,21.0526315789474,63.1578947368421,5.26315789473684,10.5263157894737,0
"J20",34.130219,114.820233,20201119,12:23:27,"MBH","June Sites","Y",0,100,41.1764705882353,41.1764705882353,5.88235294117647,5.88235294117647,5.88235294117647
"J21",34.128151,114.817448,20201119,11:18:42,"MBH","June Sites","Y",0,100,19.047619047619,57.1428571428571,0,4.76190476190476,19.047619047619
"J22",34.126271,114.819552,20201119,11:26:32,"MBH","June Sites","Y",24,76,16.6666666666667,72.2222222222222,0,5.55555555555556,5.55555555555556
"J24",34.118739,114.826402,20201119,09:28:14,"MBH","June Sites","Y",0,100,5,50,10,5,30
"J25",34.116829,114.828432,20201119,09:43:40,"MBH","June Sites","Y",0,100,0,65.2173913043478,30.4347826086957,0,4.34782608695652
"J26",34.120881,114.828907,20201119,09:35:38,"MBH","June Sites","Y",0,100,5.55555555555556,88.8888888888889,5.55555555555556,0,0
"J27",34.121824,114.832898,20201119,10:31:14,"MBH","June Sites","Y",0,100,0,100,0,0,0
"J28",34.112916,114.852137,20201119,10:09:12,"MBH","June Sites","Y",0,100,0,77.7777777777778,5.55555555555556,5.55555555555556,11.1111111111111
"J29",34.111084,114.855648,20201119,10:16:30,"MBH","June Sites","Y",0,100,4.34782608695652,30.4347826086957,26.0869565217391,4.34782608695652,34.7826086956522
"J30",34.112094,114.85946,20201119,10:01:46,"MBH","June Sites","Y",0,100,4.34782608695652,65.2173913043478,30.4347826086957,0,0
"J31",34.116007,114.860738,20201119,10:24:15,"MBH","June Sites","Y",0,100,26.3157894736842,36.8421052631579,31.5789473684211,0,5.26315789473684
"J32",34.130076,114.86109,20201119,09:54:43,"MBH","June Sites","Y",0,100,5.26315789473684,63.1578947368421,21.0526315789474,0,10.5263157894737
"J33",34.133067,114.8627,20201119,11:57:39,"MBH","June Sites","Y",22.7272727272727,77.2727272727273,25,50,0,6.25,18.75
"J34",34.131334,114.866053,20201119,11:34:05,"MBH","June Sites","Y",4,96,4.16666666666667,83.3333333333333,0,4.16666666666667,8.33333333333333
"J35",34.134801,114.869348,20201119,11:49:38,"MBH","June Sites","Y",8.69565217391304,91.304347826087,23.8095238095238,52.3809523809524,0,4.76190476190476,19.047619047619
"J36",34.130484,114.878263,20201119,11:41:09,"MBH","June Sites","Y",8.33333333333333,91.6666666666667,35,60,0,5,0
"J37",34.126354,114.878937,20201119,12:12:46,"MBH","June Sites","Y",0,100,19.047619047619,57.1428571428571,0,0,23.8095238095238
"J38",34.127912,114.883938,20201119,12:04:47,"MBH","June Sites","Y",4.16666666666667,95.8333333333333,0,23.8095238095238,0,0,76.1904761904762
